Vd Vg Vs Vb L Ids qs  
1.0 0.646464646465 0 0 1e-06 1.380e-06 -1.436e-16 
0.05 0.656565656566 0 0 1e-06 3.177e-07 -1.786e-16 
1.0 0.656565656566 0 0 1e-06 1.453e-06 -1.483e-16 
0.05 0.666666666667 0 0 1e-06 3.259e-07 -1.845e-16 
1.0 0.666666666667 0 0 1e-06 1.528e-06 -1.531e-16 
0.05 0.676767676768 0 0 1e-06 3.340e-07 -1.904e-16 
1.0 0.676767676768 0 0 1e-06 1.605e-06 -1.579e-16 
0.05 0.686868686869 0 0 1e-06 3.420e-07 -1.963e-16 
1.0 0.686868686869 0 0 1e-06 1.683e-06 -1.627e-16 
0.05 0.69696969697 0 0 1e-06 3.499e-07 -2.023e-16 
1.0 0.69696969697 0 0 1e-06 1.763e-06 -1.675e-16 
0.05 0.707070707071 0 0 1e-06 3.577e-07 -2.083e-16 
1.0 0.707070707071 0 0 1e-06 1.844e-06 -1.724e-16 
0.05 0.717171717172 0 0 1e-06 3.653e-07 -2.144e-16 
1.0 0.717171717172 0 0 1e-06 1.927e-06 -1.772e-16 
0.05 0.727272727273 0 0 1e-06 3.728e-07 -2.204e-16 
1.0 0.727272727273 0 0 1e-06 2.012e-06 -1.821e-16 
0.05 0.737373737374 0 0 1e-06 3.802e-07 -2.265e-16 
1.0 0.737373737374 0 0 1e-06 2.098e-06 -1.870e-16 
0.05 0.747474747475 0 0 1e-06 3.874e-07 -2.326e-16 
1.0 0.747474747475 0 0 1e-06 2.186e-06 -1.919e-16 
0.05 0.757575757576 0 0 1e-06 3.945e-07 -2.387e-16 
1.0 0.757575757576 0 0 1e-06 2.275e-06 -1.969e-16 
0.05 0.767676767677 0 0 1e-06 4.015e-07 -2.449e-16 
1.0 0.767676767677 0 0 1e-06 2.366e-06 -2.018e-16 
0.05 0.777777777778 0 0 1e-06 4.084e-07 -2.510e-16 
1.0 0.777777777778 0 0 1e-06 2.458e-06 -2.068e-16 
0.05 0.787878787879 0 0 1e-06 4.152e-07 -2.572e-16 
1.0 0.787878787879 0 0 1e-06 2.552e-06 -2.118e-16 
0.05 0.79797979798 0 0 1e-06 4.218e-07 -2.634e-16 
1.0 0.79797979798 0 0 1e-06 2.647e-06 -2.168e-16 
