Vd Vg Vs Vb Lg PHIG Nch TFIN HFIN tins alpha1_P alpha11_P cgsfe t_FE gauss_n SSrolloff ul QMFACTORCV qs vfe qmguess q0 q1 q2 q3 q4 ids0  
0.1 0.232323232323 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.00123615839401 -0.00241883315806 0.00124745447552 -0.0294520707436 -0.0294380257955 -0.0294127779532 -0.029376355992 -0.0293288087844 1.4840033707e-10
0.1 0.242424242424 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.00170840850964 -0.00334290101439 0.00172839553954 -0.040262643593 -0.0402435915926 -0.0402093425675 -0.0401599350812 -0.0400954347529 2.03792800157e-10
0.1 0.252525252525 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.0023601695891 -0.00461822407468 0.00239561813195 -0.0548965526278 -0.0548708134714 -0.0548245427836 -0.0547577919325 -0.0546706485188 2.79374840701e-10
0.1 0.262626262626 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.00325904086071 -0.00637707604352 0.00332207304467 -0.0746198309355 -0.0745852176367 -0.0745229934631 -0.0744332263923 -0.0743160326453 3.82198559862e-10
0.1 0.272727272727 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.00449763380253 -0.00880067293884 0.00461002778773 -0.101073336727 -0.101027025541 -0.100943771199 -0.100823663061 -0.100666854342 5.21601832534e-10
0.1 0.282828282828 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.00620252160364 -0.0121366847971 0.00640355715709 -0.136368404015 -0.136306771175 -0.136195971594 -0.136036122043 -0.135827423327 7.0986309864e-10
0.1 0.292929292929 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.00854618529786 -0.0167226110536 0.00890703799084 -0.183211115182 -0.183129516764 -0.182982822802 -0.182771185265 -0.182494866216 9.63020550467e-10
0.1 0.30303030303 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.0117628261121 -0.0230167210361 0.0124132007416 -0.245079364163 -0.244971805206 -0.244778439051 -0.244499463435 -0.244135220078 1.30191531867e-09
0.1 0.313131313131 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.0161690829433 -0.0316385923868 0.0173470496091 -0.326507181404 -0.326365754137 -0.326111500033 -0.325744678134 -0.325265736355 1.75357917694e-09
0.1 0.323232323232 0 0 3e-05 4.57 1e+17 3e-08 3e-08 9e-10 -5100000000.0 611660000000.0 0.0 5e-09 200 0.2 50 0.5 0.0221908486327 -0.0434215829488 0.0243375308371 -0.433597780416 -0.433411601785 -0.433076897616 -0.432594013553 -0.431963545842 2.35322501298e-09
