Vd Vg Vs Vb Lg t_FE  Ids Qg V_FE V_FE_delta  
0.5 0.328282828283 0 0 1e-07 1e-07 4.81128201484e-07 5.39525256542e-19 0 0
0.05 0.333333333333 0 0 1e-07 1e-07 4.83054068383e-07 7.38198897056e-19 0 0
0.5 0.333333333333 0 0 1e-07 1e-07 5.76469643199e-07 6.2949957797e-19 0 0
0.05 0.338383838384 0 0 1e-07 1e-07 5.7590606476e-07 8.60649732261e-19 0 0
0.5 0.338383838384 0 0 1e-07 1e-07 6.88566206996e-07 7.31357227946e-19 0 0
0.05 0.343434343434 0 0 1e-07 1e-07 6.83552387355e-07 9.99450650103e-19 0 0
0.5 0.343434343434 0 0 1e-07 1e-07 8.19496133268e-07 8.45813929021e-19 0 0
0.05 0.348484848485 0 0 1e-07 1e-07 8.07232660234e-07 1.15581343116e-18 0 0
0.5 0.348484848485 0 0 1e-07 1e-07 9.71357471253e-07 9.73449304473e-19 0 0
0.05 0.353535353535 0 0 1e-07 1e-07 9.4799485402e-07 1.33087521537e-18 0 0
0.5 0.353535353535 0 0 1e-07 1e-07 1.14622580341e-06 1.11468762938e-18 0 0
0.05 0.358585858586 0 0 1e-07 1e-07 1.10663888567e-06 1.52568641261e-18 0 0
0.5 0.358585858586 0 0 1e-07 1e-07 1.34611659699e-06 1.26978859292e-18 0 0
0.05 0.363636363636 0 0 1e-07 1e-07 1.28367405308e-06 1.74120291171e-18 0 0
0.5 0.363636363636 0 0 1e-07 1e-07 1.57295518653e-06 1.43884842691e-18 0 0
0.05 0.368686868687 0 0 1e-07 1e-07 1.47929550739e-06 1.97828043392e-18 0 0
0.5 0.368686868687 0 0 1e-07 1e-07 1.82855605064e-06 1.62181035067e-18 0 0
0.05 0.373737373737 0 0 1e-07 1e-07 1.69338312002e-06 2.23766853485e-18 0 0
0.5 0.373737373737 0 0 1e-07 1e-07 2.11461162536e-06 1.8184822324e-18 0 0
0.05 0.378787878788 0 0 1e-07 1e-07 1.92552359055e-06 2.52000231376e-18 0 0
0.5 0.378787878788 0 0 1e-07 1e-07 2.43268971129e-06 2.02855884162e-18 0 0
0.05 0.383838383838 0 0 1e-07 1e-07 2.17505371385e-06 2.82579119961e-18 0 0
0.5 0.383838383838 0 0 1e-07 1e-07 2.78423776924e-06 2.25164606525e-18 0 0
0.05 0.388888888889 0 0 1e-07 1e-07 2.44111983307e-06 3.15540581895e-18 0 0
0.5 0.388888888889 0 0 1e-07 1e-07 3.1705920919e-06 2.48728484948e-18 0 0
0.05 0.393939393939 0 0 1e-07 1e-07 2.72274626979e-06 3.50906534218e-18 0 0
0.5 0.393939393939 0 0 1e-07 1e-07 3.59298990432e-06 2.73497322903e-18 0 0
0.05 0.39898989899 0 0 1e-07 1e-07 3.01890455095e-06 3.88682835354e-18 0 0
0.5 0.39898989899 0 0 1e-07 1e-07 4.05258274857e-06 2.99418544226e-18 0 0
0.05 0.40404040404 0 0 1e-07 1e-07 3.32857584816e-06 4.28858997781e-18 0 0
0.5 0.40404040404 0 0 1e-07 1e-07 4.55044991194e-06 3.26438768944e-18 0 0
0.05 0.409090909091 0 0 1e-07 1e-07 3.6508010331e-06 4.71408686719e-18 0 0
0.5 0.409090909091 0 0 1e-07 1e-07 5.08761106358e-06 3.5450505137e-18 0 0
0.05 0.414141414141 0 0 1e-07 1e-07 3.98471551565e-06 5.16291013122e-18 0 0
0.5 0.414141414141 0 0 1e-07 1e-07 5.66503761086e-06 3.83565806088e-18 0 0
0.05 0.419191919192 0 0 1e-07 1e-07 4.32956878378e-06 5.63452488512e-18 0 0
0.5 0.419191919192 0 0 1e-07 1e-07 6.28366255134e-06 4.13571462482e-18 0 0
0.05 0.424242424242 0 0 1e-07 1e-07 4.68473066542e-06 6.12829417206e-18 0 0
0.5 0.424242424242 0 0 1e-07 1e-07 6.94438877875e-06 4.44474894105e-18 0 0
0.05 0.429292929293 0 0 1e-07 1e-07 5.04968748651e-06 6.64350471529e-18 0 0
0.5 0.429292929293 0 0 1e-07 1e-07 7.64809591495e-06 4.76231668413e-18 0 0
0.05 0.434343434343 0 0 1e-07 1e-07 5.42403155344e-06 7.17939219105e-18 0 0
0.5 0.434343434343 0 0 1e-07 1e-07 8.39564580067e-06 5.08800158195e-18 0 0
0.05 0.439393939394 0 0 1e-07 1e-07 5.80744700811e-06 7.7351642748e-18 0 0
0.5 0.439393939394 0 0 1e-07 1e-07 9.18788680353e-06 5.4214155002e-18 0 0
0.05 0.444444444444 0 0 1e-07 1e-07 6.19969440497e-06 8.31002038155e-18 0 0
0.5 0.444444444444 0 0 1e-07 1e-07 1.00256571045e-05 5.7621977877e-18 0 0
0.05 0.449494949495 0 0 1e-07 1e-07 6.60059560265e-06 8.90316763361e-18 0 0
0.5 0.449494949495 0 0 1e-07 1e-07 1.09097871153e-05 6.11001411383e-18 0 0
0.05 0.454545454545 0 0 1e-07 1e-07 7.01001990489e-06 9.51383306038e-18 0 0
0.5 0.454545454545 0 0 1e-07 1e-07 1.18411011631e-05 6.46455497758e-18 0 0
0.05 0.459595959596 0 0 1e-07 1e-07 7.42787189141e-06 1.01412723436e-17 0 0
0.5 0.459595959596 0 0 1e-07 1e-07 1.28204185642e-05 6.82553402468e-18 0 0
0.05 0.464646464646 0 0 1e-07 1e-07 7.85408105256e-06 1.07847755868e-17 0 0
0.5 0.464646464646 0 0 1e-07 1e-07 1.3848554192e-05 7.19268627402e-18 0 0
0.05 0.469696969697 0 0 1e-07 1e-07 8.28859315101e-06 1.1443670647e-17 0 0
0.5 0.469696969697 0 0 1e-07 1e-07 1.49263186302e-05 7.5657663276e-18 0 0
0.05 0.474747474747 0 0 1e-07 1e-07 8.73136314306e-06 1.21173245496e-17 0 0
0.5 0.474747474747 0 0 1e-07 1e-07 1.60545179919e-05 7.94454661665e-18 0 0
0.05 0.479797979798 0 0 1e-07 1e-07 9.18234946311e-06 1.28051434618e-17 0 0
