Vd Vg Vs Vb Idnorm  
0.05 0.29696969697 0 0 2.99336266741e-05
0.7 0.29696969697 0 0 5.38042604477e-05
0.05 0.30404040404 0 0 3.33350057975e-05
0.7 0.30404040404 0 0 5.9835711931e-05
0.05 0.311111111111 0 0 3.69049496296e-05
0.7 0.311111111111 0 0 6.62750893199e-05
0.05 0.318181818182 0 0 4.06259637506e-05
0.7 0.318181818182 0 0 7.31266178076e-05
0.05 0.325252525253 0 0 4.44795237644e-05
0.7 0.325252525253 0 0 8.03942068591e-05
0.05 0.332323232323 0 0 4.84467474519e-05
0.7 0.332323232323 0 0 8.80816086373e-05
0.05 0.339393939394 0 0 5.25090194352e-05
0.7 0.339393939394 0 0 9.61925349239e-05
0.05 0.346464646465 0 0 5.66485256035e-05
0.7 0.346464646465 0 0 0.00010473073267
0.05 0.353535353535 0 0 6.0848665838e-05
0.7 0.353535353535 0 0 0.00011370002112
0.05 0.360606060606 0 0 6.50943286954e-05
0.7 0.360606060606 0 0 0.000123104295347
0.05 0.367676767677 0 0 6.93720280044e-05
0.7 0.367676767677 0 0 0.000132947502023
0.05 0.374747474747 0 0 7.36699158644e-05
0.7 0.374747474747 0 0 0.000143233593586
0.05 0.381818181818 0 0 7.79776969895e-05
0.7 0.381818181818 0 0 0.0001539664667
0.05 0.388888888889 0 0 8.22864745579e-05
0.7 0.388888888889 0 0 0.000165149890394
0.05 0.39595959596 0 0 8.6588557841e-05
0.7 0.39595959596 0 0 0.000176787428497
0.05 0.40303030303 0 0 9.0877258067e-05
0.7 0.40303030303 0 0 0.000188882360203
0.05 0.410101010101 0 0 9.51466928486e-05
0.7 0.410101010101 0 0 0.000201437601837
0.05 0.417171717172 0 0 9.93916126973e-05
0.7 0.417171717172 0 0 0.000214455632167
0.05 0.424242424242 0 0 0.000103607256876
0.7 0.424242424242 0 0 0.000227938423015
0.05 0.431313131313 0 0 0.000107789240809
0.7 0.431313131313 0 0 0.000241887376396
0.05 0.438383838384 0 0 0.000111933473722
0.7 0.438383838384 0 0 0.000256303269001
0.05 0.445454545455 0 0 0.000116036103014
0.7 0.445454545455 0 0 0.000271186204529
0.05 0.452525252525 0 0 0.000120093480796
0.7 0.452525252525 0 0 0.00028653557409
0.05 0.459595959596 0 0 0.00012410214779
0.7 0.459595959596 0 0 0.000302350024728
0.05 0.466666666667 0 0 0.00012805882999
0.7 0.466666666667 0 0 0.00031862743597
0.05 0.473737373737 0 0 0.000131960444022
0.7 0.473737373737 0 0 0.000335364904173
0.05 0.480808080808 0 0 0.000135804107774
0.7 0.480808080808 0 0 0.000352558734389
0.05 0.487878787879 0 0 0.00013958715352
0.7 0.487878787879 0 0 0.000370204439368
0.05 0.494949494949 0 0 0.00014330714139
0.7 0.494949494949 0 0 0.00038829674529
0.05 0.50202020202 0 0 0.000146961871605
0.7 0.50202020202 0 0 0.000406829603777
0.05 0.509090909091 0 0 0.000150549394363
0.7 0.509090909091 0 0 0.000425796209674
0.05 0.516161616162 0 0 0.000154068016716
0.7 0.516161616162 0 0 0.000445189024093
0.05 0.523232323232 0 0 0.000157516306053
0.7 0.523232323232 0 0 0.000464999802171
0.05 0.530303030303 0 0 0.000160893090134
0.7 0.530303030303 0 0 0.000485219624985
0.05 0.537373737374 0 0 0.000164197453776
0.7 0.537373737374 0 0 0.000505838935054
0.05 0.544444444444 0 0 0.000167428732466
0.7 0.544444444444 0 0 0.000526847574862
0.05 0.551515151515 0 0 0.000170586503268
0.7 0.551515151515 0 0 0.00054823482784
0.05 0.558585858586 0 0 0.00017367057344
0.7 0.558585858586 0 0 0.00056998946126
0.05 0.565656565657 0 0 0.000176680967223
0.7 0.565656565657 0 0 0.000592099770512
0.05 0.572727272727 0 0 0.000179617911239
0.7 0.572727272727 0 0 0.00061455362426
0.05 0.579797979798 0 0 0.00018248181892
0.7 0.579797979798 0 0 0.000637338510024
0.05 0.586868686869 0 0 0.000185273274379
0.7 0.586868686869 0 0 0.000660441579737
0.05 0.593939393939 0 0 0.000187993016051
0.7 0.593939393939 0 0 0.000683849694913
0.05 0.60101010101 0 0 0.000190641920407
0.7 0.60101010101 0 0 0.000707549471063
0.05 0.608080808081 0 0 0.000193220986008
0.7 0.608080808081 0 0 0.000731527321073
0.05 0.615151515152 0 0 0.00019573131808
0.7 0.615151515152 0 0 0.000755769497276
0.05 0.622222222222 0 0 0.00019817411379
0.7 0.622222222222 0 0 0.000780262132011
0.05 0.629292929293 0 0 0.000200550648315
