VD VG VS VB Ids Qg  
-0.95 -1.55555555556 0 0 -0.0123484142839 -2.44188158032e-14
-0.05 -1.53535353535 0 0 -0.00112207082782 -3.15977883468e-14
-0.2 -1.53535353535 0 0 -0.00438644642169 -2.90694955124e-14
-0.3 -1.53535353535 0 0 -0.00638888711687 -2.74927384567e-14
-0.5 -1.53535353535 0 0 -0.00936109059578 -2.52038384737e-14
-0.7 -1.53535353535 0 0 -0.0109473732667 -2.4227737441e-14
-0.95 -1.53535353535 0 0 -0.012107276029 -2.38137393596e-14
-0.05 -1.51515151515 0 0 -0.0011171566225 -3.08025650295e-14
-0.2 -1.51515151515 0 0 -0.00436137751855 -2.82861099263e-14
-0.3 -1.51515151515 0 0 -0.00633957453993 -2.67254622347e-14
-0.5 -1.51515151515 0 0 -0.00922827666575 -2.4505856584e-14
-0.7 -1.51515151515 0 0 -0.0107493411303 -2.3587624825e-14
-0.95 -1.51515151515 0 0 -0.0118622121853 -2.32143920528e-14
-0.05 -1.49494949495 0 0 -0.00111202924285 -3.00101575516e-14
-0.2 -1.49494949495 0 0 -0.00433504645608 -2.75061049905e-14
-0.3 -1.49494949495 0 0 -0.00628750068173 -2.59626959839e-14
-0.5 -1.49494949495 0 0 -0.00909033282672 -2.38147166675e-14
-0.7 -1.49494949495 0 0 -0.0105467719266 -2.29538647058e-14
-0.95 -1.49494949495 0 0 -0.0116132366536 -2.26208542938e-14
-0.05 -1.47474747475 0 0 -0.00110667557309 -2.92206597475e-14
-0.2 -1.47474747475 0 0 -0.0043073620342 -2.6729622332e-14
-0.3 -1.47474747475 0 0 -0.00623247019098 -2.52046800139e-14
-0.5 -1.47474747475 0 0 -0.0089471567434 -2.3130604605e-14
-0.7 -1.47474747475 0 0 -0.0103396488789 -2.23265675283e-14
-0.95 -1.47474747475 0 0 -0.0113603741762 -2.20332029016e-14
-0.05 -1.45454545455 0 0 -0.00110108147145 -2.84341706864e-14
-0.2 -1.45454545455 0 0 -0.00427822481697 -2.59568142778e-14
-0.3 -1.45454545455 0 0 -0.00617427511283 -2.44516722958e-14
-0.5 -1.45454545455 0 0 -0.00879865563266 -2.24537045685e-14
-0.7 -1.45454545455 0 0 -0.0101279640189 -2.17058429242e-14
-0.95 -1.45454545455 0 0 -0.0111036615236 -2.14515103401e-14
-0.05 -1.43434343434 0 0 -0.00109523167492 -2.76507950795e-14
-0.2 -1.43434343434 0 0 -0.0042475263216 -2.51878449828e-14
-0.3 -1.43434343434 0 0 -0.00611269492321 -2.37039493327e-14
-0.5 -1.43434343434 0 0 -0.00864474758854 -2.17841984437e-14
-0.7 -1.43434343434 0 0 -0.00991171931197 -2.10917992756e-14
-0.95 -1.43434343434 0 0 -0.0108431488092 -2.0875843802e-14
-0.05 -1.41414141414 0 0 -0.00108910969431 -2.6870643729e-14
-0.2 -1.41414141414 0 0 -0.00421514814227 -2.44228916911e-14
-0.3 -1.41414141414 0 0 -0.00604749683527 -2.29618068959e-14
-0.5 -1.41414141414 0 0 -0.00848536299509 -2.11222652296e-14
-0.7 -1.41414141414 0 0 -0.0096909279138 -2.04845431948e-14
-0.95 -1.41414141414 0 0 -0.0105789014106 -2.03062636777e-14
-0.05 -1.39393939394 0 0 -0.00108269769821 -2.60938340212e-14
-0.2 -1.39393939394 0 0 -0.00418096101196 -2.36621461456e-14
-0.3 -1.39393939394 0 0 -0.00597843644671 -2.222556057e-14
-0.5 -1.39393939394 0 0 -0.00832044603408 -2.04680804127e-14
-0.7 -1.39393939394 0 0 -0.00946561558094 -1.98841789009e-14
