Vd Vg Vs Vb Lg Ids Qg  
-0.05 -0.772727272727 0 0 7e-08 -0.000408967093847 -8.5500440733e-15
-0.5 -0.772727272727 0 0 7e-08 -0.00238822972446 -4.57144321116e-15
-0.9 -0.772727272727 0 0 7e-08 -0.0027458204594 -4.72732605911e-15
-0.05 -0.763636363636 0 0 7e-08 -0.000408579694855 -8.10871364703e-15
-0.5 -0.763636363636 0 0 7e-08 -0.00230500208274 -4.37592469721e-15
-0.9 -0.763636363636 0 0 7e-08 -0.00265034267915 -4.5550657819e-15
-0.05 -0.754545454545 0 0 7e-08 -0.00040757551783 -7.67917592149e-15
-0.5 -0.754545454545 0 0 7e-08 -0.00222103756572 -4.18665514812e-15
-0.9 -0.754545454545 0 0 7e-08 -0.00255503397096 -4.38610050216e-15
-0.05 -0.745454545455 0 0 7e-08 -0.00040590074455 -7.26177450807e-15
-0.5 -0.745454545455 0 0 7e-08 -0.00213656041085 -4.00334748967e-15
-0.9 -0.745454545455 0 0 7e-08 -0.00245999531575 -4.2203853498e-15
-0.05 -0.736363636364 0 0 7e-08 -0.000403503587445 -6.85683320075e-15
-0.5 -0.736363636364 0 0 7e-08 -0.00205179120675 -3.82572851243e-15
-0.9 -0.736363636364 0 0 7e-08 -0.002365331839 -4.05787788282e-15
-0.05 -0.727272727273 0 0 7e-08 -0.000400336460733 -6.46464758525e-15
-0.5 -0.727272727273 0 0 7e-08 -0.00196694634294 -3.65354020807e-15
-0.9 -0.727272727273 0 0 7e-08 -0.00227115298499 -3.89853785578e-15
-0.05 -0.718181818182 0 0 7e-08 -0.000396358677708 -6.08547509767e-15
-0.5 -0.718181818182 0 0 7e-08 -0.00188223751413 -3.48654050909e-15
-0.9 -0.718181818182 0 0 7e-08 -0.00217757254206 -3.74232704493e-15
-0.05 -0.709090909091 0 0 7e-08 -0.000391539683462 -5.71952346379e-15
-0.5 -0.709090909091 0 0 7e-08 -0.00179787120031 -3.32450345754e-15
-0.9 -0.709090909091 0 0 7e-08 -0.00208470849773 -3.58920910547e-15
-0.05 -0.7 0 0 7e-08 -0.000385862759694 -5.36693759228e-15
-0.5 -0.7 0 0 7e-08 -0.00171404804121 -3.16721885254e-15
-0.9 -0.7 0 0 7e-08 -0.00199268270099 -3.43914943088e-15
-0.05 -0.690909090909 0 0 7e-08 -0.000379329009044 -5.02778526107e-15
-0.5 -0.690909090909 0 0 7e-08 -0.00163096203125 -3.01449143142e-15
-0.9 -0.690909090909 0 0 7e-08 -0.00190162030699 -3.29211497974e-15
-0.05 -0.681818181818 0 0 7e-08 -0.000371961213174 -4.70204239628e-15
-0.5 -0.681818181818 0 0 7e-08 -0.00154879947859 -2.86613963482e-15
-0.9 -0.681818181818 0 0 7e-08 -0.00181164897893 -3.14807403112e-15
-0.05 -0.672727272727 0 0 7e-08 -0.000363806837826 -4.38957946994e-15
-0.5 -0.672727272727 0 0 7e-08 -0.00146773769799 -2.72199400212e-15
-0.9 -0.672727272727 0 0 7e-08 -0.00172289782246 -3.00699582733e-15
-0.05 -0.663636363636 0 0 7e-08 -0.000354939038657 -4.09015156087e-15
-0.5 -0.663636363636 0 0 7e-08 -0.00138794344519 -2.58189525141e-15
-0.9 -0.663636363636 0 0 7e-08 -0.00163549603272 -2.8688500631e-15
-0.05 -0.654545454545 0 0 7e-08 -0.000345454105326 -3.80339579396e-15
-0.5 -0.654545454545 0 0 7e-08 -0.00130957115129 -2.44569212751e-15
-0.9 -0.654545454545 0 0 7e-08 -0.00154957124434 -2.73360618567e-15
-0.05 -0.645454545455 0 0 7e-08 -0.000335463637413 -3.52884074731e-15
-0.5 -0.645454545455 0 0 7e-08 -0.00123276108386 -2.31323916061e-15
-0.9 -0.645454545455 0 0 7e-08 -0.00146524759394 -2.601232485e-15
