Vd Vg Vs Vb Id Lg Ig  
-0.05 -0.69 0.0 0.0 -0.00029544 70e-9 9.1E-013 
-0.05 -0.676 0.0 0.0 -0.00028358 70e-9 -2.8E-013 
-0.05 -0.662 0.0 0.0 -0.00027082 70e-9 -5.59E-012 
-0.05 -0.648 0.0 0.0 -0.00025678 70e-9 -1.442E-011 
-0.05 -0.634 0.0 0.0 -0.00024306 70e-9 -1.646E-011 
-0.05 -0.62 0.0 0.0 -0.00022896 70e-9 -1.606E-011 
-0.05 -0.606 0.0 0.0 -0.00021428 70e-9 -1.492E-011 
-0.05 -0.592 0.0 0.0 -0.0001982 70e-9 -1.342E-011 
-0.05 -0.578 0.0 0.0 -0.0001826 70e-9 -9.94E-012 
-0.05 -0.564 0.0 0.0 -0.00016622 70e-9 -5.04E-012 
-0.05 -0.55 0.0 0.0 -0.00015004 70e-9 -4.3E-013 
-0.05 -0.536 0.0 0.0 -0.00013284 70e-9 3.36E-012 
-0.05 -0.522 0.0 0.0 -0.00011542 70e-9 4.9E-012 
-0.05 -0.508 0.0 0.0 -0.000095738 70e-9 -7.91E-012 
-0.05 -0.494 0.0 0.0 -0.000080478 70e-9 -3.48E-012 
-0.05 -0.48 0.0 0.0 -0.000066752 70e-9 1.5E-012 
-0.05 -0.466 0.0 0.0 -0.000053304 70e-9 4.85E-012 
-0.05 -0.452 0.0 0.0 -0.00004145 70e-9 7.27E-012 
-0.05 -0.438 0.0 0.0 -0.000031196 70e-9 6.82E-012 
-0.05 -0.424 0.0 0.0 -0.000022636 70e-9 3.24E-012 
-0.05 -0.41 0.0 0.0 -0.000016148 70e-9 -2.83E-012 
-0.05 -0.396 0.0 0.0 -0.000011458 70e-9 -7.87E-012 
-0.05 -0.382 0.0 0.0 -8.7911E-006 70e-9 8.23E-012 
-0.05 -0.368 0.0 0.0 -5.9513E-006 70e-9 7.61E-012 
-0.05 -0.354 0.0 0.0 -4.1619E-006 70e-9 8.37E-012 
-0.05 -0.34 0.0 0.0 -2.7294E-006 70e-9 7.51E-012 
-0.05 -0.326 0.0 0.0 -1.7975E-006 70e-9 6.13E-012 
-0.05 -0.312 0.0 0.0 -1.1823E-006 70e-9 3.29E-012 
