Vd Vg Vs Vb Lg Ids mu  
0.787878787879 0.1 0 0 1e-07 5.77741644336e-12 0.0186708792083
0.79797979798 0.1 0 0 1e-07 5.77752046378e-12 0.0186708721971
0.808080808081 0.1 0 0 1e-07 5.77762060691e-12 0.0186708654478
0.818181818182 0.1 0 0 1e-07 5.77771706283e-12 0.0186708589461
0.828282828283 0.1 0 0 1e-07 5.77781001061e-12 0.0186708526813
0.838383838384 0.1 0 0 1e-07 5.77789961832e-12 0.0186708466419
0.848484848485 0.1 0 0 1e-07 5.77798604392e-12 0.0186708408164
0.858585858586 0.1 0 0 1e-07 5.7780694365e-12 0.0186708351958
0.868686868687 0.1 0 0 1e-07 5.7781499362e-12 0.0186708297695
0.878787878788 0.1 0 0 1e-07 5.77822767546e-12 0.0186708245298
0.888888888889 0.1 0 0 1e-07 5.77830277892e-12 0.0186708194674
0.89898989899 0.1 0 0 1e-07 5.77837536461e-12 0.0186708145753
0.909090909091 0.1 0 0 1e-07 5.77844554348e-12 0.0186708098444
0.919191919192 0.1 0 0 1e-07 5.77851342118e-12 0.0186708052696
0.929292929293 0.1 0 0 1e-07 5.778579097e-12 0.0186708008428
0.939393939394 0.1 0 0 1e-07 5.77864266515e-12 0.0186707965579
0.949494949495 0.1 0 0 1e-07 5.778704215e-12 0.0186707924091
0.959595959596 0.1 0 0 1e-07 5.778763831e-12 0.018670788391
0.969696969697 0.1 0 0 1e-07 5.77882159336e-12 0.0186707844975
0.979797979798 0.1 0 0 1e-07 5.77887757809e-12 0.018670780724
0.989898989899 0.1 0 0 1e-07 5.77893185739e-12 0.0186707770648
1.0 0.1 0 0 1e-07 5.7789844999e-12 0.0186707735165
0.0 0.2 0 0 1e-07 0.0 0.0337322755181
0.010101010101 0.2 0 0 1e-07 1.66693818851e-10 0.0333390168117
0.020202020202 0.2 0 0 1e-07 2.67421598698e-10 0.0330725136463
0.030303030303 0.2 0 0 1e-07 3.2709835626e-10 0.0328994508544
0.040404040404 0.2 0 0 1e-07 3.62803369229e-10 0.0327883220707
0.0505050505051 0.2 0 0 1e-07 3.8479055338e-10 0.032716163158
0.0606060606061 0.2 0 0 1e-07 3.98847940447e-10 0.0326681841963
0.0707070707071 0.2 0 0 1e-07 4.0819444769e-10 0.0326353473574
0.0808080808081 0.2 0 0 1e-07 4.1464333449e-10 0.0326121982567
0.0909090909091 0.2 0 0 1e-07 4.19244012957e-10 0.0325954143167
0.10101010101 0.2 0 0 1e-07 4.22624086749e-10 0.0325829302074
0.111111111111 0.2 0 0 1e-07 4.25171849036e-10 0.0325734297747
0.121212121212 0.2 0 0 1e-07 4.27135510756e-10 0.0325660521212
0.131313131313 0.2 0 0 1e-07 4.2867862674e-10 0.0325602195884
0.141414141414 0.2 0 0 1e-07 4.29911994398e-10 0.0325555351329
0.151515151515 0.2 0 0 1e-07 4.30912573472e-10 0.0325517197039
0.161616161616 0.2 0 0 1e-07 4.31735038215e-10 0.0325485731357
0.171717171717 0.2 0 0 1e-07 4.3241902595e-10 0.0325459491461
0.181818181818 0.2 0 0 1e-07 4.32993801964e-10 0.0325437390061
0.191919191919 0.2 0 0 1e-07 4.33481332416e-10 0.0325418606403
0.20202020202 0.2 0 0 1e-07 4.33898352348e-10 0.0325402512163
0.212121212121 0.2 0 0 1e-07 4.34257785077e-10 0.0325388620122
0.222222222222 0.2 0 0 1e-07 4.34569733946e-10 0.0325376547991
0.232323232323 0.2 0 0 1e-07 4.34842187016e-10 0.0325365992586
0.242424242424 0.2 0 0 1e-07 4.35081525316e-10 0.0325356711056
