Vg Id Ig
-0.34 -0.000013332 -6.41E-012
-0.326 -9.3532E-006 2.4E-013
-0.312 -6.3742E-006 -3.59E-012
-0.298 -4.3119E-006 -5.07E-012
-0.284 -0.000002893 -6.47E-012
-0.27 -1.9315E-006 -7.84E-012
-0.256 -0.000001283 -7.23E-012
-0.242 -9.5166E-007 1.006E-011
-0.228 -0.000000596 8.33E-012
-0.214 -3.7416E-007 2.56E-012
-0.2 -2.3542E-007 -2.07E-012
-0.186 -0.000000151 -4.86E-012
-0.172 -1.076932E-007 -3.67E-012
-0.158 -6.4406E-008 -7.03E-012
-0.144 -4.03658E-008 -1.77E-012
-0.13 -2.71588E-008 9.99E-012
-0.116 -1.8566E-008 6.17E-012
-0.102 -1.1755E-008 -2.09E-012
-0.088 -7.4149E-009 8.64E-012
-0.074 -4.7653E-009 8.63E-012
-0.06 -0.000000003 8.7E-012
-0.046 -1.9236E-009 9.04E-012
-0.032 -1.2153E-009 8.33E-012
-0.018 -7.7327E-010 1.16E-012
-0.004 -4.806E-010 1.9E-013
0.01 -2.9845E-010 1.61E-012
0.024 -1.8072E-010 1.98E-012
0.038 -1.0574E-010 1.79E-012
0.052 -5.873E-011 2.96E-012
0.066 -2.883E-011 3.75E-012
0.08 -1.091E-011 4.78E-012
0.094 -1.1E-013 6.02E-012
0.108 6.72E-012 6.07E-012
0.122 1.217E-011 7.07E-012
0.136 1.512E-011 7.1E-012
0.15 1.656E-011 8.09E-012
0.164 1.547E-011 9.97E-012
0.178 1.555E-011 1.04E-011
0.192 1.393E-011 1.217E-011
0.206 1.158E-011 1.262E-011
0.22 1.05E-011 1.317E-011
0.234 8.53E-012 1.49E-011
0.248 3.69E-012 1.649E-011
0.262 1.79E-012 1.69E-011
0.276 -3.35E-012 1.778E-011
0.29 -9.06E-012 1.885E-011
0.304 -2.454E-011 1.905E-011
0.318 -2.22E-011 2.084E-011
0.332 -2.629E-011 2.212E-011
0.346 -2.96E-011 2.435E-011
0.36 -3.628E-011 2.556E-011
0.374 -4.141E-011 2.684E-011
0.388 -4.67E-011 2.861E-011
0.402 -5.125E-011 3.109E-011
0.416 -5.644E-011 3.3E-011
0.43 -6.204E-011 3.339E-011
0.444 -6.75E-011 3.612E-011
0.458 -7.07E-011 3.911E-011
0.472 -7.7E-011 4.173E-011
0.486 -8.199E-011 4.403E-011
0.5 -8.91E-011 4.82E-011
