Vd Vg Vs Vb Lg Ids Qg  
-0.05 -0.718181818182 0 0 7e-08 -0.000409071168876 -4.66177900618e-15
-0.5 -0.718181818182 0 0 7e-08 -0.00189548303071 -2.76529610665e-15
-0.9 -0.718181818182 0 0 7e-08 -0.00219365312403 -2.93290438212e-15
-0.05 -0.709090909091 0 0 7e-08 -0.000402916841849 -4.41625073421e-15
-0.5 -0.709090909091 0 0 7e-08 -0.00180812042111 -2.65186279082e-15
-0.9 -0.709090909091 0 0 7e-08 -0.00209767294133 -2.82860758069e-15
-0.05 -0.7 0 0 7e-08 -0.00039613634815 -4.17652194647e-15
-0.5 -0.7 0 0 7e-08 -0.00172156574027 -2.54067465521e-15
-0.9 -0.7 0 0 7e-08 -0.00200281451994 -2.72538912968e-15
-0.05 -0.690909090909 0 0 7e-08 -0.000388725719327 -3.94268137685e-15
-0.5 -0.690909090909 0 0 7e-08 -0.0016359729808 -2.43162297532e-15
-0.9 -0.690909090909 0 0 7e-08 -0.00190917435462 -2.62323742361e-15
-0.05 -0.681818181818 0 0 7e-08 -0.000380687518521 -3.71479726237e-15
-0.5 -0.681818181818 0 0 7e-08 -0.00155149026291 -2.32460970202e-15
-0.9 -0.681818181818 0 0 7e-08 -0.00181684965213 -2.52214353728e-15
-0.05 -0.672727272727 0 0 7e-08 -0.000372030542721 -3.49291683504e-15
-0.5 -0.672727272727 0 0 7e-08 -0.00146825976946 -2.219547207e-15
-0.9 -0.672727272727 0 0 7e-08 -0.00172593795607 -2.42210124231e-15
-0.05 -0.663636363636 0 0 7e-08 -0.000362768764805 -3.27706774303e-15
-0.5 -0.663636363636 0 0 7e-08 -0.00138641767741 -2.11635802893e-15
-0.9 -0.663636363636 0 0 7e-08 -0.0016365367171 -2.32310704035e-15
-0.05 -0.654545454545 0 0 7e-08 -0.000352919449756 -3.06726195013e-15
-0.5 -0.654545454545 0 0 7e-08 -0.00130609410793 -2.01497467513e-15
-0.9 -0.654545454545 0 0 7e-08 -0.00154874281987 -2.22516022627e-15
-0.05 -0.645454545455 0 0 7e-08 -0.000342500563901 -2.86350245638e-15
-0.5 -0.645454545455 0 0 7e-08 -0.00122741312711 -1.91533954038e-15
-0.9 -0.645454545455 0 0 7e-08 -0.00146265208531 -2.12826300146e-15
