Vd Vg Vs Vb Lg Ids qd  
0.34 0.0808080808081 0 0 1e-06 1.81056753104e-13 -3.40556094679e-11
0.45 0.0808080808081 0 0 1e-06 1.81057098196e-13 -4.86162897813e-13
0.56 0.0808080808081 0 0 1e-06 1.81057103122e-13 -6.94024763859e-15
0.67 0.0808080808081 0 0 1e-06 1.81057103194e-13 -9.90759218832e-17
0.78 0.0808080808081 0 0 1e-06 1.81057103194e-13 -1.41436427173e-18
0.89 0.0808080808081 0 0 1e-06 1.81057103194e-13 -2.01908420849e-20
1.0 0.0808080808081 0 0 1e-06 1.81057103194e-13 -2.88235578517e-22
0.01 0.0909090909091 0 0 1e-06 9.29082455569e-14 -1.72925266005e-05
0.12 0.0909090909091 0 0 1e-06 2.83218111155e-13 -2.46865873155e-07
0.23 0.0909090909091 0 0 1e-06 2.85894353579e-13 -3.52414969046e-09
0.34 0.0909090909091 0 0 1e-06 2.85932549855e-13 -5.03092107338e-11
0.45 0.0909090909091 0 0 1e-06 2.85933095125e-13 -7.18192158607e-13
0.56 0.0909090909091 0 0 1e-06 2.85933102911e-13 -1.02525952836e-14
0.67 0.0909090909091 0 0 1e-06 2.85933103017e-13 -1.46361539569e-16
0.78 0.0909090909091 0 0 1e-06 2.85933103026e-13 -2.08939294622e-18
0.89 0.0909090909091 0 0 1e-06 2.85933103026e-13 -2.98272544587e-20
1.0 0.0909090909091 0 0 1e-06 2.85933103026e-13 -4.25800761966e-22
0.01 0.10101010101 0 0 1e-06 1.46443999712e-13 -2.55454011544e-05
0.12 0.10101010101 0 0 1e-06 4.46567258898e-13 -3.64686627553e-07
0.23 0.10101010101 0 0 1e-06 4.50789335099e-13 -5.20610823982e-09
0.34 0.10101010101 0 0 1e-06 4.50849594388e-13 -7.43201112558e-11
0.45 0.10101010101 0 0 1e-06 4.50850454625e-13 -1.06096121079e-12
0.56 0.10101010101 0 0 1e-06 4.50850466904e-13 -1.51458154685e-14
0.67 0.10101010101 0 0 1e-06 4.50850467084e-13 -2.16214998134e-16
0.78 0.10101010101 0 0 1e-06 4.50850467084e-13 -3.08659018822e-18
0.89 0.10101010101 0 0 1e-06 4.50850467084e-13 -4.40628035624e-20
1.0 0.10101010101 0 0 1e-06 4.50850467084e-13 -6.29021197951e-22
0.01 0.111111111111 0 0 1e-06 2.30446186146e-13 -3.77367784129e-05
0.12 0.111111111111 0 0 1e-06 7.02976569698e-13 -5.38739215218e-07
0.23 0.111111111111 0 0 1e-06 7.09626643764e-13 -7.69080923211e-09
0.34 0.111111111111 0 0 1e-06 7.09721557054e-13 -1.09790610043e-10
0.45 0.111111111111 0 0 1e-06 7.09722912002e-13 -1.56732244611e-12
0.56 0.111111111111 0 0 1e-06 7.09722931344e-13 -2.23744056878e-14
0.67 0.111111111111 0 0 1e-06 7.09722931607e-13 -3.19407171827e-16
