Vd Vgf Vs Vgb L IDS qtotd qtots vbgs  
0.0 0.0707070707071 1 1 1e-06 5.883e-06 3.105e-04 3.429e-03 -1.826e-03 
0.95 0.0707070707071 1 1 1e-06 1.864e-06 2.765e-03 3.449e-03 -5.792e-04 
0.0 0.0909090909091 1 1 1e-06 5.223e-06 2.906e-04 3.187e-03 -1.621e-03 
0.95 0.0909090909091 1 1 1e-06 1.748e-06 2.527e-03 3.204e-03 -5.433e-04 
0.0 0.111111111111 1 1 1e-06 4.599e-06 2.712e-04 2.948e-03 -1.427e-03 
0.95 0.111111111111 1 1 1e-06 1.630e-06 2.293e-03 2.962e-03 -5.066e-04 
0.0 0.131313131313 1 1 1e-06 4.013e-06 2.522e-04 2.711e-03 -1.245e-03 
0.95 0.131313131313 1 1 1e-06 1.510e-06 2.062e-03 2.723e-03 -4.693e-04 
0.0 0.151515151515 1 1 1e-06 3.467e-06 2.336e-04 2.477e-03 -1.076e-03 
0.95 0.151515151515 1 1 1e-06 1.388e-06 1.837e-03 2.487e-03 -4.313e-04 
0.0 0.171717171717 1 1 1e-06 2.960e-06 2.154e-04 2.246e-03 -9.187e-04 
0.95 0.171717171717 1 1 1e-06 1.264e-06 1.616e-03 2.255e-03 -3.928e-04 
0.0 0.191919191919 1 1 1e-06 2.495e-06 1.974e-04 2.019e-03 -7.742e-04 
0.95 0.191919191919 1 1 1e-06 1.139e-06 1.402e-03 2.026e-03 -3.539e-04 
0.0 0.212121212121 1 1 1e-06 2.071e-06 1.796e-04 1.797e-03 -6.427e-04 
0.95 0.212121212121 1 1 1e-06 1.013e-06 1.196e-03 1.803e-03 -3.147e-04 
0.0 0.232323232323 1 1 1e-06 1.689e-06 1.620e-04 1.580e-03 -5.243e-04 
0.95 0.232323232323 1 1 1e-06 8.870e-07 9.991e-04 1.585e-03 -2.757e-04 
0.0 0.252525252525 1 1 1e-06 1.350e-06 1.445e-04 1.370e-03 -4.192e-04 
0.95 0.252525252525 1 1 1e-06 7.625e-07 8.134e-04 1.373e-03 -2.370e-04 
0.0 0.272727272727 1 1 1e-06 1.054e-06 1.270e-04 1.167e-03 -3.273e-04 
0.95 0.272727272727 1 1 1e-06 6.407e-07 6.415e-04 1.169e-03 -1.991e-04 
0.0 0.292929292929 1 1 1e-06 8.007e-07 1.097e-04 9.728e-04 -2.486e-04 
0.95 0.292929292929 1 1 1e-06 5.235e-07 4.866e-04 9.747e-04 -1.627e-04 
0.0 0.313131313131 1 1 1e-06 5.889e-07 9.257e-05 7.901e-04 -1.829e-04 
0.95 0.313131313131 1 1 1e-06 4.133e-07 3.520e-04 7.916e-04 -1.284e-04 
0.0 0.333333333333 1 1 1e-06 4.173e-07 7.575e-05 6.213e-04 -1.296e-04 
0.95 0.333333333333 1 1 1e-06 3.125e-07 2.414e-04 6.221e-04 -1.281e-04 
0.0 0.353535353535 1 1 1e-06 2.835e-07 5.959e-05 4.693e-04 -8.807e-05 
0.95 0.353535353535 1 1 1e-06 2.254e-07 1.562e-04 4.700e-04 -8.693e-05 
0.0 0.373737373737 1 1 1e-06 1.839e-07 4.459e-05 3.377e-04 -5.713e-05 
0.95 0.373737373737 1 1 1e-06 1.536e-07 9.596e-05 3.383e-04 -5.634e-05 
0.0 0.393939393939 1 1 1e-06 1.137e-07 3.142e-05 2.296e-04 -3.532e-05 
0.95 0.393939393939 1 1 1e-06 9.874e-08 5.658e-05 2.301e-04 -3.481e-05 
0.0 0.414141414141 1 1 1e-06 6.717e-08 2.070e-05 1.469e-04 -2.088e-05 
