Vd Vg Vs Vb Lg Ids mu  
0.12 0.0707070707071 0 0 1e-07 3.51225229969e-12 0.0184230023333
0.23 0.0707070707071 0 0 1e-07 3.54345727859e-12 0.0184222816121
0.34 0.0707070707071 0 0 1e-07 3.55815433389e-12 0.0184270920327
0.45 0.0707070707071 0 0 1e-07 3.57537092471e-12 0.0184329580687
0.56 0.0707070707071 0 0 1e-07 3.59476786047e-12 0.0184395588953
0.67 0.0707070707071 0 0 1e-07 3.61583719146e-12 0.0184467141354
0.78 0.0707070707071 0 0 1e-07 3.63819530155e-12 0.0184542903015
0.89 0.0707070707071 0 0 1e-07 3.66155118546e-12 0.0184621862409
1.0 0.0707070707071 0 0 1e-07 3.68568091926e-12 0.0184703242254
0.01 0.0808080808081 0 0 1e-07 2.24649943804e-12 0.0192444747494
0.12 0.0808080808081 0 0 1e-07 5.19167768562e-12 0.0189575556602
0.23 0.0808080808081 0 0 1e-07 5.23730324272e-12 0.0189565352647
0.34 0.0808080808081 0 0 1e-07 5.25883795873e-12 0.0189625526569
0.45 0.0808080808081 0 0 1e-07 5.2840577068e-12 0.018969888083
0.56 0.0808080808081 0 0 1e-07 5.31246509209e-12 0.0189781373708
0.67 0.0808080808081 0 0 1e-07 5.3433170004e-12 0.0189870743312
0.78 0.0808080808081 0 0 1e-07 5.37605223658e-12 0.0189965316035
0.89 0.0808080808081 0 0 1e-07 5.41024507353e-12 0.019006382401
1.0 0.0808080808081 0 0 1e-07 5.44556790746e-12 0.0190165293382
0.01 0.0909090909091 0 0 1e-07 3.36099098208e-12 0.0199868365164
0.12 0.0909090909091 0 0 1e-07 7.71732821313e-12 0.0196319728265
0.23 0.0909090909091 0 0 1e-07 7.78423847464e-12 0.0196305807212
0.34 0.0909090909091 0 0 1e-07 7.81597060378e-12 0.0196378972696
0.45 0.0909090909091 0 0 1e-07 7.85312598488e-12 0.0196468134439
0.56 0.0909090909091 0 0 1e-07 7.8949677183e-12 0.0196568342507
0.67 0.0909090909091 0 0 1e-07 7.94040230301e-12 0.0196676840203
0.78 0.0909090909091 0 0 1e-07 7.98860396264e-12 0.0196791588274
0.89 0.0909090909091 0 0 1e-07 8.03894630583e-12 0.0196911042237
1.0 0.0909090909091 0 0 1e-07 8.09094730382e-12 0.0197034016399
0.01 0.10101010101 0 0 1e-07 5.05970214579e-12 0.020885794369
0.12 0.10101010101 0 0 1e-07 1.15383056294e-11 0.0204591447313
0.23 0.10101010101 0 0 1e-07 1.16366854824e-11 0.0204573128369
0.34 0.10101010101 0 0 1e-07 1.16836747351e-11 0.020465954797
0.45 0.10101010101 0 0 1e-07 1.17386883972e-11 0.0204764828587
0.56 0.10101010101 0 0 1e-07 1.18006248182e-11 0.0204883081188
0.67 0.10101010101 0 0 1e-07 1.1867866632e-11 0.0205011043121
0.78 0.10101010101 0 0 1e-07 1.19391926547e-11 0.0205146301398
0.89 0.10101010101 0 0 1e-07 1.20136765243e-11 0.0205287029061
