Vd Vgf Vs Vgb L IDS qicore xg1 xg2  
1.0 0.34 0 5.0 5.5e-08 1.185e-03 34.7971 24.8527 100.8771 
1.0 0.36 0 5.0 5.5e-08 1.210e-03 35.6296 25.5275 100.7791 
1.0 0.38 0 5.0 5.5e-08 1.236e-03 36.4719 26.2013 100.6800 
1.0 0.4 0 5.0 5.5e-08 1.263e-03 37.3234 26.8739 100.5798 
1.0 0.42 0 5.0 5.5e-08 1.290e-03 38.1832 27.5455 100.4785 
1.0 0.44 0 5.0 5.5e-08 1.317e-03 39.0507 28.2160 100.3761 
1.0 0.46 0 5.0 5.5e-08 1.345e-03 39.9251 28.8855 100.2727 
1.0 0.48 0 5.0 5.5e-08 1.373e-03 40.8059 29.5539 100.1682 
1.0 0.5 0 5.0 5.5e-08 1.401e-03 41.6924 30.2214 100.0628 
1.0 0.52 0 5.0 5.5e-08 1.429e-03 42.5843 30.8878 99.9563 
1.0 0.54 0 5.0 5.5e-08 1.458e-03 43.4810 31.5533 99.8489 
1.0 0.56 0 5.0 5.5e-08 1.487e-03 44.3821 32.2179 99.7404 
1.0 0.58 0 5.0 5.5e-08 1.516e-03 45.2872 32.8814 99.6310 
1.0 0.6 0 5.0 5.5e-08 1.545e-03 46.1960 33.5441 99.5207 
1.0 0.62 0 5.0 5.5e-08 1.574e-03 47.1080 34.2058 99.4094 
1.0 0.64 0 5.0 5.5e-08 1.603e-03 48.0231 34.8665 99.2972 
1.0 0.66 0 5.0 5.5e-08 1.633e-03 48.9409 35.5263 99.1840 
1.0 0.68 0 5.0 5.5e-08 1.663e-03 49.8612 36.1852 99.0699 
1.0 0.7 0 5.0 5.5e-08 1.693e-03 50.7837 36.8432 98.9549 
1.0 0.72 0 5.0 5.5e-08 1.723e-03 51.7082 37.5003 98.8390 
1.0 0.74 0 5.0 5.5e-08 1.753e-03 52.6344 38.1564 98.7221 
1.0 0.76 0 5.0 5.5e-08 1.783e-03 53.5623 38.8117 98.6043 
1.0 0.78 0 5.0 5.5e-08 1.813e-03 54.4917 39.4660 98.4856 
1.0 0.8 0 5.0 5.5e-08 1.843e-03 55.4223 40.1194 98.3660 
1.0 0.82 0 5.0 5.5e-08 1.874e-03 56.3540 40.7719 98.2454 
1.0 0.84 0 5.0 5.5e-08 1.904e-03 57.2867 41.4235 98.1240 
1.0 0.86 0 5.0 5.5e-08 1.935e-03 58.2202 42.0742 98.0016 
1.0 0.88 0 5.0 5.5e-08 1.965e-03 59.1544 42.7240 97.8783 
1.0 0.9 0 5.0 5.5e-08 1.996e-03 60.0893 43.3729 97.7542 
1.0 0.92 0 5.0 5.5e-08 2.027e-03 61.0246 44.0208 97.6291 
1.0 0.94 0 5.0 5.5e-08 2.058e-03 61.9603 44.6679 97.5031 
1.0 0.96 0 5.0 5.5e-08 2.089e-03 62.8963 45.3141 97.3762 
1.0 0.98 0 5.0 5.5e-08 2.120e-03 63.8326 45.9593 97.2484 
1.0 1.0 0 5.0 5.5e-08 2.151e-03 64.7689 46.6037 97.1196 
1.0 1.02 0 5.0 5.5e-08 2.182e-03 65.7053 47.2471 96.9900 
1.0 1.04 0 5.0 5.5e-08 2.213e-03 66.6417 47.8897 96.8595 
1.0 1.06 0 5.0 5.5e-08 2.244e-03 67.5779 48.5314 96.7280 
1.0 1.08 0 5.0 5.5e-08 2.275e-03 68.5140 49.1721 96.5957 
1.0 1.1 0 5.0 5.5e-08 2.306e-03 69.4499 49.8119 96.4624 
1.0 1.12 0 5.0 5.5e-08 2.338e-03 70.3854 50.4509 96.3282 
1.0 1.14 0 5.0 5.5e-08 2.369e-03 71.3207 51.0889 96.1932 
1.0 1.16 0 5.0 5.5e-08 2.400e-03 72.2555 51.7261 96.0572 
1.0 1.18 0 5.0 5.5e-08 2.432e-03 73.1899 52.3623 95.9203 
1.0 1.2 0 5.0 5.5e-08 2.463e-03 74.1239 52.9977 95.7826 
1.0 1.22 0 5.0 5.5e-08 2.494e-03 75.0572 53.6321 95.6439 
1.0 1.24 0 5.0 5.5e-08 2.526e-03 75.9901 54.2657 95.5043 
1.0 1.26 0 5.0 5.5e-08 2.557e-03 76.9223 54.8983 95.3638 
1.0 1.28 0 5.0 5.5e-08 2.589e-03 77.8539 55.5301 95.2225 
1.0 1.3 0 5.0 5.5e-08 2.620e-03 78.7847 56.1609 95.0802 
1.0 1.32 0 5.0 5.5e-08 2.652e-03 79.7149 56.7909 94.9370 
1.0 1.34 0 5.0 5.5e-08 2.683e-03 80.6444 57.4200 94.7930 
1.0 1.36 0 5.0 5.5e-08 2.715e-03 81.5731 58.0482 94.6480 
1.0 1.38 0 5.0 5.5e-08 2.747e-03 82.5009 58.6755 94.5022 
1.0 1.4 0 5.0 5.5e-08 2.778e-03 83.4280 59.3019 94.3555 
1.0 1.42 0 5.0 5.5e-08 2.810e-03 84.3542 59.9275 94.2079 
1.0 1.44 0 5.0 5.5e-08 2.841e-03 85.2796 60.5522 94.0594 
1.0 1.46 0 5.0 5.5e-08 2.873e-03 86.2041 61.1760 93.9101 
1.0 1.48 0 5.0 5.5e-08 2.905e-03 87.1277 61.7989 93.7599 
1.0 -1.5 0 4.5 5.5e-08 2.101e-04 1.0199 -14.9806 85.7628 
1.0 -1.48 0 4.5 5.5e-08 2.101e-04 1.0203 -14.9793 85.7627 
1.0 -1.46 0 4.5 5.5e-08 2.101e-04 1.0207 -14.9780 85.7626 
1.0 -1.44 0 4.5 5.5e-08 2.102e-04 1.0211 -14.9766 85.7624 
1.0 -1.42 0 4.5 5.5e-08 2.102e-04 1.0216 -14.9751 85.7623 
1.0 -1.4 0 4.5 5.5e-08 2.103e-04 1.0221 -14.9735 85.7622 
1.0 -1.38 0 4.5 5.5e-08 2.103e-04 1.0227 -14.9719 85.7620 
1.0 -1.36 0 4.5 5.5e-08 2.104e-04 1.0232 -14.9700 85.7619 
1.0 -1.34 0 4.5 5.5e-08 2.104e-04 1.0239 -14.9681 85.7617 
1.0 -1.32 0 4.5 5.5e-08 2.105e-04 1.0245 -14.9660 85.7615 
1.0 -1.3 0 4.5 5.5e-08 2.106e-04 1.0253 -14.9637 85.7613 
1.0 -1.28 0 4.5 5.5e-08 2.106e-04 1.0260 -14.9613 85.7611 
1.0 -1.26 0 4.5 5.5e-08 2.107e-04 1.0269 -14.9586 85.7608 
1.0 -1.24 0 4.5 5.5e-08 2.108e-04 1.0278 -14.9557 85.7606 
1.0 -1.22 0 4.5 5.5e-08 2.109e-04 1.0288 -14.9526 85.7603 
1.0 -1.2 0 4.5 5.5e-08 2.110e-04 1.0300 -14.9491 85.7600 
1.0 -1.18 0 4.5 5.5e-08 2.111e-04 1.0312 -14.9452 85.7597 
1.0 -1.16 0 4.5 5.5e-08 2.112e-04 1.0326 -14.9410 85.7593 
1.0 -1.14 0 4.5 5.5e-08 2.114e-04 1.0341 -14.9362 85.7589 
1.0 -1.12 0 4.5 5.5e-08 2.115e-04 1.0358 -14.9309 85.7584 
1.0 -1.1 0 4.5 5.5e-08 2.117e-04 1.0377 -14.9249 85.7578 
1.0 -1.08 0 4.5 5.5e-08 2.119e-04 1.0400 -14.9180 85.7572 
1.0 -1.06 0 4.5 5.5e-08 2.122e-04 1.0425 -14.9101 85.7565 
1.0 -1.04 0 4.5 5.5e-08 2.124e-04 1.0455 -14.9010 85.7557 
1.0 -1.02 0 4.5 5.5e-08 2.127e-04 1.0489 -14.8903 85.7548 
1.0 -1.0 0 4.5 5.5e-08 2.131e-04 1.0531 -14.8775 85.7536 
1.0 -0.98 0 4.5 5.5e-08 2.136e-04 1.0581 -14.8621 85.7523 
1.0 -0.96 0 4.5 5.5e-08 2.141e-04 1.0642 -14.8432 85.7506 
1.0 -0.94 0 4.5 5.5e-08 2.148e-04 1.0720 -14.8194 85.7485 
1.0 -0.92 0 4.5 5.5e-08 2.157e-04 1.0821 -14.7887 85.7457 
1.0 -0.9 0 4.5 5.5e-08 2.169e-04 1.0956 -14.7477 85.7421 
1.0 -0.88 0 4.5 5.5e-08 2.186e-04 1.1144 -14.6912 85.7371 
1.0 -0.86 0 4.5 5.5e-08 2.210e-04 1.1418 -14.6094 85.7298 
1.0 -0.84 0 4.5 5.5e-08 2.245e-04 1.1838 -14.4859 85.7188 
1.0 -0.82 0 4.5 5.5e-08 2.299e-04 1.2506 -14.2936 85.7016 
1.0 -0.8 0 4.5 5.5e-08 2.380e-04 1.3559 -13.9993 85.6753 
1.0 -0.78 0 4.5 5.5e-08 2.490e-04 1.5099 -13.5856 85.6384 
1.0 -0.76 0 4.5 5.5e-08 2.620e-04 1.7113 -13.0692 85.5926 
1.0 -0.74 0 4.5 5.5e-08 2.760e-04 1.9510 -12.4831 85.5409 
1.0 -0.72 0 4.5 5.5e-08 2.903e-04 2.2201 -11.8543 85.4860 
1.0 -0.7 0 4.5 5.5e-08 3.043e-04 2.5119 -11.1993 85.4297 
1.0 -0.68 0 4.5 5.5e-08 3.179e-04 2.8219 -10.5277 85.3728 
1.0 -0.66 0 4.5 5.5e-08 3.310e-04 3.1471 -9.8448 85.3160 
1.0 -0.64 0 4.5 5.5e-08 3.437e-04 3.4851 -9.1540 85.2596 
1.0 -0.62 0 4.5 5.5e-08 3.559e-04 3.8342 -8.4573 85.2037 
1.0 -0.6 0 4.5 5.5e-08 3.678e-04 4.1931 -7.7562 85.1484 
1.0 -0.58 0 4.5 5.5e-08 3.793e-04 4.5607 -7.0515 85.0938 
1.0 -0.56 0 4.5 5.5e-08 3.904e-04 4.9362 -6.3438 85.0399 
1.0 -0.54 0 4.5 5.5e-08 4.012e-04 5.3186 -5.6338 84.9866 
1.0 -0.52 0 4.5 5.5e-08 4.118e-04 5.7076 -4.9218 84.9339 
1.0 -0.5 0 4.5 5.5e-08 4.221e-04 6.1026 -4.2081 84.8819 
1.0 -0.48 0 4.5 5.5e-08 4.322e-04 6.5031 -3.4929 84.8303 
1.0 -0.46 0 4.5 5.5e-08 4.420e-04 6.9089 -2.7764 84.7793 
1.0 -0.44 0 4.5 5.5e-08 4.517e-04 7.3196 -2.0589 84.7287 
1.0 -0.42 0 4.5 5.5e-08 4.612e-04 7.7349 -1.3405 84.6786 
1.0 -0.4 0 4.5 5.5e-08 4.706e-04 8.1548 -0.6213 84.6287 
1.0 -0.38 0 4.5 5.5e-08 4.799e-04 8.5791 9.864e-02 84.5791 
1.0 -0.36 0 4.5 5.5e-08 4.890e-04 9.0076 0.8191 84.5298 
1.0 -0.34 0 4.5 5.5e-08 4.980e-04 9.4404 1.5400 84.4806 
1.0 -0.32 0 4.5 5.5e-08 5.070e-04 9.8773 2.2613 84.4314 
1.0 -0.3 0 4.5 5.5e-08 5.158e-04 10.3185 2.9827 84.3823 
1.0 -0.28 0 4.5 5.5e-08 5.246e-04 10.7639 3.7044 84.3331 
1.0 -0.26 0 4.5 5.5e-08 5.334e-04 11.2138 4.4260 84.2838 
1.0 -0.24 0 4.5 5.5e-08 5.421e-04 11.6682 5.1475 84.2342 
1.0 -0.22 0 4.5 5.5e-08 5.509e-04 12.1273 5.8688 84.1842 
1.0 -0.2 0 4.5 5.5e-08 5.596e-04 12.5915 6.5898 84.1337 
1.0 -0.18 0 4.5 5.5e-08 5.684e-04 13.0611 7.3102 84.0826 
1.0 -0.16 0 4.5 5.5e-08 5.772e-04 13.5366 8.0299 84.0307 
1.0 -0.14 0 4.5 5.5e-08 5.862e-04 14.0185 8.7488 83.9778 
1.0 -0.12 0 4.5 5.5e-08 5.954e-04 14.5074 9.4665 83.9237 
1.0 -0.1 0 4.5 5.5e-08 6.048e-04 15.0042 10.1831 83.8683 
1.0 -0.08 0 4.5 5.5e-08 6.145e-04 15.5098 10.8981 83.8113 
1.0 -0.06 0 4.5 5.5e-08 6.247e-04 16.0252 11.6115 83.7527 
1.0 -0.04 0 4.5 5.5e-08 6.354e-04 16.5517 12.3231 83.6921 
1.0 -0.02 0 4.5 5.5e-08 6.467e-04 17.0906 13.0327 83.6296 
1.0 1.33226762955e-15 0 4.5 5.5e-08 6.587e-04 17.6434 13.7403 83.5650 
1.0 0.02 0 4.5 5.5e-08 6.715e-04 18.2113 14.4459 83.4982 
1.0 0.04 0 4.5 5.5e-08 6.853e-04 18.7959 15.1493 83.4294 
1.0 0.06 0 4.5 5.5e-08 7.000e-04 19.3983 15.8507 83.3584 
1.0 0.08 0 4.5 5.5e-08 7.158e-04 20.0196 16.5501 83.2853 
1.0 0.1 0 4.5 5.5e-08 7.325e-04 20.6605 17.2476 83.2104 
1.0 0.12 0 4.5 5.5e-08 7.503e-04 21.3214 17.9433 83.1335 
1.0 0.14 0 4.5 5.5e-08 7.691e-04 22.0023 18.6372 83.0549 
1.0 0.16 0 4.5 5.5e-08 7.888e-04 22.7030 19.3294 82.9746 
1.0 0.18 0 4.5 5.5e-08 8.095e-04 23.4230 20.0201 82.8927 
1.0 0.2 0 4.5 5.5e-08 8.310e-04 24.1616 20.7094 82.8094 
1.0 0.22 0 4.5 5.5e-08 8.532e-04 24.9179 21.3973 82.7246 
1.0 0.24 0 4.5 5.5e-08 8.762e-04 25.6909 22.0839 82.6386 
1.0 0.26 0 4.5 5.5e-08 8.999e-04 26.4795 22.7692 82.5512 
1.0 0.28 0 4.5 5.5e-08 9.241e-04 27.2826 23.4534 82.4627 
1.0 0.3 0 4.5 5.5e-08 9.489e-04 28.0993 24.1364 82.3730 
1.0 0.32 0 4.5 5.5e-08 9.742e-04 28.9283 24.8183 82.2822 
1.0 0.34 0 4.5 5.5e-08 9.999e-04 29.7688 25.4992 82.1903 
1.0 0.36 0 4.5 5.5e-08 1.026e-03 30.6199 26.1791 82.0974 
1.0 0.38 0 4.5 5.5e-08 1.053e-03 31.4806 26.8580 82.0035 
1.0 0.4 0 4.5 5.5e-08 1.079e-03 32.3501 27.5359 81.9086 
1.0 0.42 0 4.5 5.5e-08 1.107e-03 33.2277 28.2129 81.8127 
1.0 0.44 0 4.5 5.5e-08 1.134e-03 34.1127 28.8889 81.7159 
1.0 0.46 0 4.5 5.5e-08 1.162e-03 35.0045 29.5641 81.6182 
1.0 0.48 0 4.5 5.5e-08 1.190e-03 35.9024 30.2383 81.5196 
1.0 0.5 0 4.5 5.5e-08 1.218e-03 36.8061 30.9117 81.4201 
1.0 0.52 0 4.5 5.5e-08 1.246e-03 37.7148 31.5842 81.3197 
1.0 0.54 0 4.5 5.5e-08 1.275e-03 38.6283 32.2558 81.2184 
1.0 0.56 0 4.5 5.5e-08 1.303e-03 39.5461 32.9266 81.1162 
1.0 0.58 0 4.5 5.5e-08 1.332e-03 40.4678 33.5965 81.0132 
1.0 0.6 0 4.5 5.5e-08 1.361e-03 41.3931 34.2655 80.9093 
1.0 0.62 0 4.5 5.5e-08 1.390e-03 42.3216 34.9337 80.8046 
1.0 0.64 0 4.5 5.5e-08 1.420e-03 43.2531 35.6011 80.6990 
1.0 0.66 0 4.5 5.5e-08 1.449e-03 44.1873 36.2676 80.5925 
1.0 0.68 0 4.5 5.5e-08 1.478e-03 45.1239 36.9332 80.4852 
1.0 0.7 0 4.5 5.5e-08 1.508e-03 46.0628 37.5980 80.3770 
1.0 0.72 0 4.5 5.5e-08 1.538e-03 47.0036 38.2620 80.2680 
1.0 0.74 0 4.5 5.5e-08 1.568e-03 47.9462 38.9251 80.1581 
1.0 0.76 0 4.5 5.5e-08 1.597e-03 48.8904 39.5874 80.0474 
1.0 0.78 0 4.5 5.5e-08 1.627e-03 49.8361 40.2489 79.9358 
1.0 0.8 0 4.5 5.5e-08 1.657e-03 50.7830 40.9094 79.8234 
1.0 0.82 0 4.5 5.5e-08 1.688e-03 51.7311 41.5692 79.7101 
1.0 0.84 0 4.5 5.5e-08 1.718e-03 52.6801 42.2281 79.5960 
1.0 0.86 0 4.5 5.5e-08 1.748e-03 53.6300 42.8861 79.4810 
1.0 0.88 0 4.5 5.5e-08 1.778e-03 54.5807 43.5433 79.3651 
1.0 0.9 0 4.5 5.5e-08 1.809e-03 55.5319 44.1996 79.2484 
1.0 0.92 0 4.5 5.5e-08 1.839e-03 56.4837 44.8551 79.1308 
1.0 0.94 0 4.5 5.5e-08 1.870e-03 57.4359 45.5097 79.0124 
1.0 0.96 0 4.5 5.5e-08 1.900e-03 58.3884 46.1635 78.8931 
1.0 0.98 0 4.5 5.5e-08 1.931e-03 59.3411 46.8164 78.7729 
1.0 1.0 0 4.5 5.5e-08 1.961e-03 60.2940 47.4684 78.6519 
1.0 1.02 0 4.5 5.5e-08 1.992e-03 61.2469 48.1196 78.5300 
1.0 1.04 0 4.5 5.5e-08 2.023e-03 62.1998 48.7699 78.4072 
1.0 1.06 0 4.5 5.5e-08 2.053e-03 63.1527 49.4193 78.2836 
1.0 1.08 0 4.5 5.5e-08 2.084e-03 64.1054 50.0679 78.1591 
1.0 1.1 0 4.5 5.5e-08 2.115e-03 65.0579 50.7156 78.0337 
1.0 1.12 0 4.5 5.5e-08 2.146e-03 66.0101 51.3624 77.9074 
1.0 1.14 0 4.5 5.5e-08 2.177e-03 66.9620 52.0083 77.7803 
1.0 1.16 0 4.5 5.5e-08 2.208e-03 67.9136 52.6534 77.6522 
1.0 1.18 0 4.5 5.5e-08 2.239e-03 68.8647 53.2976 77.5233 
1.0 1.2 0 4.5 5.5e-08 2.270e-03 69.8153 53.9409 77.3935 
1.0 1.22 0 4.5 5.5e-08 2.301e-03 70.7654 54.5834 77.2629 
1.0 1.24 0 4.5 5.5e-08 2.332e-03 71.7150 55.2250 77.1313 
1.0 1.26 0 4.5 5.5e-08 2.363e-03 72.6639 55.8656 76.9989 
1.0 1.28 0 4.5 5.5e-08 2.394e-03 73.6122 56.5054 76.8656 
1.0 1.3 0 4.5 5.5e-08 2.425e-03 74.5599 57.1444 76.7314 
1.0 1.32 0 4.5 5.5e-08 2.456e-03 75.5068 57.7824 76.5963 
1.0 1.34 0 4.5 5.5e-08 2.488e-03 76.4530 58.4196 76.4603 
1.0 1.36 0 4.5 5.5e-08 2.519e-03 77.3984 59.0559 76.3235 
1.0 1.38 0 4.5 5.5e-08 2.550e-03 78.3430 59.6913 76.1858 
1.0 1.4 0 4.5 5.5e-08 2.581e-03 79.2868 60.3258 76.0472 
1.0 1.42 0 4.5 5.5e-08 2.612e-03 80.2297 60.9594 75.9077 
1.0 1.44 0 4.5 5.5e-08 2.644e-03 81.1718 61.5922 75.7673 
1.0 1.46 0 4.5 5.5e-08 2.675e-03 82.1129 62.2241 75.6260 
1.0 1.48 0 4.5 5.5e-08 2.706e-03 83.0531 62.8551 75.4839 
1.0 -1.5 0 4.0 5.5e-08 1.697e-05 4.104e-02 -11.9279 66.8340 
1.0 -1.48 0 4.0 5.5e-08 1.698e-05 4.107e-02 -11.9268 66.8340 
1.0 -1.46 0 4.0 5.5e-08 1.699e-05 4.110e-02 -11.9256 66.8340 
1.0 -1.44 0 4.0 5.5e-08 1.700e-05 4.113e-02 -11.9244 66.8339 
1.0 -1.42 0 4.0 5.5e-08 1.701e-05 4.117e-02 -11.9231 66.8339 
1.0 -1.4 0 4.0 5.5e-08 1.702e-05 4.120e-02 -11.9217 66.8339 
1.0 -1.38 0 4.0 5.5e-08 1.704e-05 4.124e-02 -11.9203 66.8339 
1.0 -1.36 0 4.0 5.5e-08 1.705e-05 4.128e-02 -11.9187 66.8338 
1.0 -1.34 0 4.0 5.5e-08 1.707e-05 4.132e-02 -11.9171 66.8338 
