Vd Vg Vs Vb Ids  
-0.9 -0.636363636364 0 0 -0.00135543768938
-0.05 -0.627272727273 0 0 -0.000303053335976
-0.5 -0.627272727273 0 0 -0.00102760961711
-0.9 -0.627272727273 0 0 -0.00127378586178
-0.05 -0.618181818182 0 0 -0.000293431774746
-0.5 -0.618181818182 0 0 -0.000958409498612
-0.9 -0.618181818182 0 0 -0.00119434811027
-0.05 -0.609090909091 0 0 -0.0002833827231
-0.5 -0.609090909091 0 0 -0.000891440433222
-0.9 -0.609090909091 0 0 -0.00111723113718
-0.05 -0.6 0 0 -0.000272908665573
-0.5 -0.6 0 0 -0.00082678833557
-0.9 -0.6 0 0 -0.00104253540312
-0.05 -0.590909090909 0 0 -0.000262004942722
-0.5 -0.590909090909 0 0 -0.000764528819005
-0.9 -0.590909090909 0 0 -0.000970352965384
-0.05 -0.581818181818 0 0 -0.000250658917801
-0.5 -0.581818181818 0 0 -0.000704726546872
-0.9 -0.581818181818 0 0 -0.000900765519133
-0.05 -0.572727272727 0 0 -0.000238852073507
-0.5 -0.572727272727 0 0 -0.000647435068689
-0.9 -0.572727272727 0 0 -0.000833842796214
-0.05 -0.563636363636 0 0 -0.000226565430007
-0.5 -0.563636363636 0 0 -0.000592697179035
-0.9 -0.563636363636 0 0 -0.00076964146898
-0.05 -0.554545454545 0 0 -0.000213787693741
-0.5 -0.554545454545 0 0 -0.000540545744642
-0.9 -0.554545454545 0 0 -0.000708204676995
-0.05 -0.545454545455 0 0 -0.000200524652729
-0.5 -0.545454545455 0 0 -0.000491004844767
-0.9 -0.545454545455 0 0 -0.000649562238894
-0.05 -0.536363636364 0 0 -0.000186807936889
-0.5 -0.536363636364 0 0 -0.000444090988865
-0.9 -0.536363636364 0 0 -0.000593731530201
-0.05 -0.527272727273 0 0 -0.000172701520735
-0.5 -0.527272727273 0 0 -0.000399814145683
-0.9 -0.527272727273 0 0 -0.000540718909045
-0.05 -0.518181818182 0 0 -0.000158305045996
-0.5 -0.518181818182 0 0 -0.000358178360584
-0.9 -0.518181818182 0 0 -0.00049052147433
-0.05 -0.509090909091 0 0 -0.00014375372209
-0.5 -0.509090909091 0 0 -0.000319181849832
-0.9 -0.509090909091 0 0 -0.000443128872923
-0.05 -0.5 0 0 -0.000129214845646
-0.5 -0.5 0 0 -0.000282816605852
-0.9 -0.5 0 0 -0.000398524862167
-0.05 -0.490909090909 0 0 -0.000114880881328
