vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi sweepvar qm qmd vgs
-0.7 -0.0989898989899 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.280e-09 -3.803e-04 -3.4818 19.8271 -6.0307 -4.948e-05 -3.846e-04 -1.178e-10 -1.214e-08 8.3826 -4.949e-05 -8.399e-23 -0.70000 -6.575e-07 -1.214e-08 9.900e-02
-0.05 -0.106060606061 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.251e-10 -3.810e-04 -3.5030 13.1450 -6.0673 -4.148e-05 -3.839e-04 -5.751e-11 -8.624e-06 1.6394 -4.149e-05 -8.469e-23 -5.0000e-02 -9.052e-06 -8.623e-06 0.1061
-0.7 -0.106060606061 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.602e-09 -3.803e-04 -3.4818 19.8271 -6.0307 -6.190e-05 -3.857e-04 -1.474e-10 -1.518e-08 8.3826 -6.191e-05 -9.972e-23 -0.70000 -8.225e-07 -1.518e-08 0.1061
-0.05 -0.113131313131 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.839e-10 -3.812e-04 -3.5030 13.1451 -6.0673 -5.202e-05 -3.848e-04 -7.212e-11 -1.081e-05 1.6395 -5.203e-05 -1.007e-22 -5.0000e-02 -1.135e-05 -1.081e-05 0.1132
-0.7 -0.113131313131 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.007e-09 -3.803e-04 -3.4818 19.8272 -6.0307 -7.755e-05 -3.871e-04 -1.846e-10 -1.902e-08 8.3827 -7.758e-05 -1.195e-22 -0.70000 -1.031e-06 -1.902e-08 0.1132
-0.05 -0.120202020202 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.818e-10 -3.815e-04 -3.5030 13.1451 -6.0673 -6.515e-05 -3.860e-04 -9.032e-11 -1.354e-05 1.6394 -6.517e-05 -1.206e-22 -5.0000e-02 -1.422e-05 -1.354e-05 0.1202
-0.7 -0.120202020202 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.512e-09 -3.803e-04 -3.4818 19.8272 -6.0307 -9.708e-05 -3.888e-04 -2.311e-10 -2.382e-08 8.3827 -9.712e-05 -1.441e-22 -0.70000 -1.290e-06 -2.382e-08 0.1203
-0.05 -0.127272727273 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.229e-09 -3.818e-04 -3.5030 13.1449 -6.0673 -8.159e-05 -3.874e-04 -1.131e-10 -1.697e-05 1.6392 -8.162e-05 -1.455e-22 -5.0000e-02 -1.781e-05 -1.697e-05 0.1273
-0.7 -0.127272727273 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.139e-09 -3.803e-04 -3.4818 19.8274 -6.0307 -1.213e-04 -3.910e-04 -2.888e-10 -2.975e-08 8.3829 -1.213e-04 -1.746e-22 -0.70000 -1.612e-06 -2.975e-08 0.1273
-0.05 -0.134343434343 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.541e-09 -3.821e-04 -3.5030 13.1451 -6.0673 -1.022e-04 -3.892e-04 -1.418e-10 -2.126e-05 1.6394 -1.023e-04 -1.767e-22 -5.0000e-02 -2.231e-05 -2.126e-05 0.1343
-0.7 -0.134343434343 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.929e-09 -3.803e-04 -3.4818 19.8275 -6.0307 -1.518e-04 -3.937e-04 -3.615e-10 -3.724e-08 8.3830 -1.519e-04 -2.130e-22 -0.70000 -2.017e-06 -3.724e-08 0.1344
