Vd Vg Vs Vb L Ids Qg E_FE V_FE  
0.3 0.130303030303 0 0 1e-06 5.909e-16 -3.802e-15 6.138e+06 1.4118 
0.05 0.133333333333 0 0 1e-06 4.894e-16 -3.813e-15 6.155e+06 1.4158 
0.3 0.133333333333 0 0 1e-06 5.901e-16 -3.812e-15 6.154e+06 1.4156 
0.05 0.136363636364 0 0 1e-06 4.888e-16 -3.823e-15 6.172e+06 1.4196 
0.3 0.136363636364 0 0 1e-06 1.127e-10 -1.085e-19 175.1567 4.029e-05 
0.05 0.139393939394 0 0 1e-06 1.079e-10 1.773e-18 -2.862e+03 -6.583e-04 
0.3 0.139393939394 0 0 1e-06 5.886e-16 -3.833e-15 6.188e+06 1.4232 
0.05 0.142424242424 0 0 1e-06 1.215e-10 1.831e-18 -2.956e+03 -6.800e-04 
0.3 0.142424242424 0 0 1e-06 5.878e-16 -3.843e-15 6.204e+06 1.4270 
0.05 0.145454545455 0 0 1e-06 4.869e-16 -3.854e-15 6.221e+06 1.4310 
0.3 0.145454545455 0 0 1e-06 1.604e-10 5.996e-20 -96.8053 -2.227e-05 
0.05 0.148484848485 0 0 1e-06 1.533e-10 1.952e-18 -3.152e+03 -7.250e-04 
0.3 0.148484848485 0 0 1e-06 5.863e-16 -3.864e-15 6.237e+06 1.4346 
0.05 0.151515151515 0 0 1e-06 4.856e-16 -3.874e-15 6.254e+06 1.4386 
0.3 0.151515151515 0 0 1e-06 5.855e-16 -3.874e-15 6.254e+06 1.4384 
0.05 0.154545454545 0 0 1e-06 4.850e-16 -3.884e-15 6.271e+06 1.4424 
0.3 0.154545454545 0 0 1e-06 5.847e-16 -3.884e-15 6.270e+06 1.4422 
0.05 0.157575757576 0 0 1e-06 4.843e-16 -3.895e-15 6.287e+06 1.4462 
0.3 0.157575757576 0 0 1e-06 5.840e-16 -3.894e-15 6.287e+06 1.4460 
0.05 0.160606060606 0 0 1e-06 4.837e-16 -3.905e-15 6.304e+06 1.4500 
0.3 0.160606060606 0 0 1e-06 5.832e-16 -3.904e-15 6.303e+06 1.4498 
0.05 0.163636363636 0 0 1e-06 4.831e-16 -3.915e-15 6.320e+06 1.4538 
0.3 0.163636363636 0 0 1e-06 5.825e-16 -3.915e-15 6.320e+06 1.4536 
0.05 0.166666666667 0 0 1e-06 4.825e-16 -3.925e-15 6.337e+06 1.4576 
0.3 0.166666666667 0 0 1e-06 5.817e-16 -3.925e-15 6.336e+06 1.4574 
0.05 0.169696969697 0 0 1e-06 4.818e-16 -3.936e-15 6.353e+06 1.4614 
0.3 0.169696969697 0 0 1e-06 5.810e-16 -3.935e-15 6.353e+06 1.4612 
0.05 0.172727272727 0 0 1e-06 4.812e-16 -3.946e-15 6.370e+06 1.4652 
0.3 0.172727272727 0 0 1e-06 4.610e-10 6.863e-19 -1.108e+03 -2.549e-04 
0.05 0.175757575758 0 0 1e-06 4.407e-10 2.654e-18 -4.284e+03 -9.855e-04 
0.3 0.175757575758 0 0 1e-06 5.794e-16 -3.955e-15 6.386e+06 1.4688 
0.05 0.178787878788 0 0 1e-06 4.800e-16 -3.966e-15 6.403e+06 1.4727 
0.3 0.178787878788 0 0 1e-06 8.940e-16 -4.248e-15 6.857e+06 1.5772 
0.05 0.181818181818 0 0 1e-06 5.564e-10 2.865e-18 -4.625e+03 -1.064e-03 
0.3 0.181818181818 0 0 1e-06 5.780e-16 -3.976e-15 6.419e+06 1.4764 
0.05 0.184848484848 0 0 1e-06 4.787e-16 -3.987e-15 6.436e+06 1.4803 
0.3 0.184848484848 0 0 1e-06 5.772e-16 -3.986e-15 6.435e+06 1.4802 
0.05 0.187878787879 0 0 1e-06 4.781e-16 -3.997e-15 6.452e+06 1.4841 
0.3 0.187878787879 0 0 1e-06 5.765e-16 -3.996e-15 6.451e+06 1.4839 
0.05 0.190909090909 0 0 1e-06 4.775e-16 -4.007e-15 6.469e+06 1.4879 
