vd vg vs vb l alpha1_p alpha11_p t_fe phig vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi sweepvar qm qmd vgs
0.4 0.145454545455 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.288e-03 -6.6660 16.4339 -11.5458 0.5014 -2.384e-02 7.067e-07 3.353e-02 3.8488 0.4624 3.548e-19 0.40000 -3.374e-02 3.374e-02 0.1455
0.4 0.149494949495 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.409e-03 -6.6660 16.4896 -11.5458 0.5715 -2.706e-02 8.345e-07 3.613e-02 3.9045 0.5208 4.063e-19 0.40000 -3.637e-02 3.637e-02 0.1495
0.4 0.153535353535 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.528e-03 -6.6660 16.5520 -11.5458 0.6518 -3.074e-02 9.888e-07 3.866e-02 3.9669 0.5859 4.656e-19 0.40000 -3.894e-02 3.894e-02 0.1535
0.4 0.157575757576 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.640e-03 -6.6660 16.6219 -11.5458 0.7439 -3.494e-02 1.176e-06 4.107e-02 4.0369 0.6581 5.341e-19 0.40000 -4.138e-02 4.138e-02 0.1576
0.4 0.161616161616 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.743e-03 -6.6660 16.7003 -11.5458 0.8498 -3.976e-02 1.405e-06 4.326e-02 4.1152 0.7379 6.134e-19 0.40000 -4.361e-02 4.361e-02 0.1616
0.4 0.165656565657 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.832e-03 -6.6660 16.7879 -11.5458 0.9718 -4.529e-02 1.685e-06 4.515e-02 4.2029 0.8260 7.055e-19 0.40000 -4.552e-02 4.552e-02 0.1657
0.4 0.169696969697 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.902e-03 -6.6660 16.8860 -11.5458 1.1128 -5.164e-02 2.030e-06 4.664e-02 4.3009 0.9228 8.128e-19 0.40000 -4.704e-02 4.704e-02 0.1697
0.4 0.173737373737 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.949e-03 -6.6660 16.9954 -11.5458 1.2760 -5.893e-02 2.457e-06 4.764e-02 4.4104 1.0287 9.380e-19 0.40000 -4.805e-02 4.805e-02 0.1737
0.4 0.177777777778 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.968e-03 -6.6660 17.1173 -11.5458 1.4650 -6.728e-02 2.986e-06 4.806e-02 4.5323 1.1441 1.085e-18 0.40000 -4.848e-02 4.848e-02 0.1778
0.4 0.181818181818 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.959e-03 -6.6660 17.2523 -11.5458 1.6835 -7.680e-02 3.641e-06 4.787e-02 4.6672 1.2693 1.256e-18 0.40000 -4.829e-02 4.829e-02 0.1818
0.4 0.185858585859 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.922e-03 -6.6660 17.3999 -11.5458 1.9341 -8.751e-02 4.445e-06 4.708e-02 4.8149 1.4045 1.454e-18 0.40000 -4.748e-02 4.748e-02 0.1859
