vd vg vs vb l alpha1_p alpha11_p t_fe phig vfed qms vfes ids qgi sweepvar qm qmd vgs
0.4 0.226262626263 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.726e-02 2.4118 -7.256e-02 5.292e-06 2.029e-18 0.40000 1.5857 0.5759 0.2987
0.4 0.230303030303 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -3.062e-02 2.6083 -7.870e-02 5.907e-06 2.211e-18 0.40000 1.7277 0.6492 0.3089
0.4 0.234343434343 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -3.432e-02 2.8167 -8.520e-02 6.582e-06 2.405e-18 0.40000 1.8795 0.7302 0.3195
0.4 0.238383838384 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -3.837e-02 3.0368 -9.201e-02 7.316e-06 2.612e-18 0.40000 2.0412 0.8193 0.3303
0.4 0.242424242424 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -4.277e-02 3.2676 -9.909e-02 8.108e-06 2.831e-18 0.40000 2.2121 0.9161 0.3415
0.4 0.246464646465 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -4.749e-02 3.5078 -0.1064 8.954e-06 3.060e-18 0.40000 2.3913 1.0205 0.3528
0.4 0.250505050505 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -5.248e-02 3.7552 -0.1137 9.847e-06 3.298e-18 0.40000 2.5773 1.1315 0.3642
0.4 0.254545454545 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -5.768e-02 4.0076 -0.1211 1.078e-05 3.542e-18 0.40000 2.7682 1.2480 0.3757
0.4 0.258585858586 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -6.304e-02 4.2620 -0.1284 1.174e-05 3.790e-18 0.40000 2.9621 1.3687 0.3870
0.4 0.262626262626 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -6.847e-02 4.5159 -0.1355 1.271e-05 4.039e-18 0.40000 3.1567 1.4921 0.3982
0.4 0.266666666667 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.390e-02 4.7667 -0.1423 1.369e-05 4.287e-18 0.40000 3.3500 1.6166 0.4090
0.4 0.270707070707 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.928e-02 5.0123 -0.1487 1.466e-05 4.530e-18 0.40000 3.5403 1.7411 0.4195
0.4 0.274747474747 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -8.455e-02 5.2513 -0.1547 1.562e-05 4.768e-18 0.40000 3.7264 1.8643 0.4295
0.4 0.278787878788 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -8.968e-02 5.4826 -0.1603 1.656e-05 5.000e-18 0.40000 3.9073 1.9855 0.4392
0.4 0.282828282828 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -9.463e-02 5.7057 -0.1655 1.748e-05 5.224e-18 0.40000 4.0825 2.1041 0.4484
0.4 0.286868686869 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -9.940e-02 5.9203 -0.1702 1.836e-05 5.440e-18 0.40000 4.2517 2.2197 0.4572
0.4 0.290909090909 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1040 6.1265 -0.1745 1.922e-05 5.649e-18 0.40000 4.4147 2.3321 0.4655
0.4 0.294949494949 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1084 6.3244 -0.1785 2.005e-05 5.850e-18 0.40000 4.5718 2.4412 0.4735
0.4 0.29898989899 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1126 6.5144 -0.1820 2.085e-05 6.044e-18 0.40000 4.7230 2.5470 0.4811
0.4 0.30303030303 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1166 6.6970 -0.1853 2.163e-05 6.230e-18 0.40000 4.8687 2.6495 0.4884
0.4 0.307070707071 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1204 6.8723 -0.1882 2.237e-05 6.409e-18 0.40000 5.0090 2.7488 0.4953
0.4 0.311111111111 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1240 7.0410 -0.1908 2.310e-05 6.583e-18 0.40000 5.1443 2.8451 0.5020
0.4 0.315151515152 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1275 7.2034 -0.1931 2.379e-05 6.750e-18 0.40000 5.2748 2.9385 0.5083
0.4 0.319191919192 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1309 7.3600 -0.1952 2.447e-05 6.911e-18 0.40000 5.4009 3.0291 0.5144
0.4 0.323232323232 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1341 7.5110 -0.1970 2.512e-05 7.067e-18 0.40000 5.5228 3.1170 0.5203
0.4 0.327272727273 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1371 7.6568 -0.1986 2.575e-05 7.218e-18 0.40000 5.6407 3.2025 0.5259
0.4 0.331313131313 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1400 7.7979 -0.2000 2.636e-05 7.364e-18 0.40000 5.7549 3.2856 0.5314
0.4 0.335353535354 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1428 7.9344 -0.2012 2.696e-05 7.506e-18 0.40000 5.8656 3.3664 0.5366
0.4 0.339393939394 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1455 8.0666 -0.2022 2.753e-05 7.643e-18 0.40000 5.9731 3.4451 0.5417
0.4 0.343434343434 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1481 8.1949 -0.2031 2.809e-05 7.777e-18 0.40000 6.0775 3.5218 0.5466
0.4 0.347474747475 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1505 8.3195 -0.2038 2.864e-05 7.907e-18 0.40000 6.1790 3.5966 0.5513
0.4 0.351515151515 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1529 8.4405 -0.2044 2.917e-05 8.033e-18 0.40000 6.2777 3.6696 0.5559
0.4 0.355555555556 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1552 8.5582 -0.2048 2.968e-05 8.156e-18 0.40000 6.3739 3.7408 0.5604
0.4 0.359595959596 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1573 8.6728 -0.2051 3.018e-05 8.276e-18 0.40000 6.4676 3.8105 0.5647
0.4 0.363636363636 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1594 8.7845 -0.2052 3.067e-05 8.393e-18 0.40000 6.5590 3.8786 0.5689
0.4 0.367676767677 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1614 8.8933 -0.2053 3.115e-05 8.507e-18 0.40000 6.6483 3.9452 0.5730
0.4 0.371717171717 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1634 8.9995 -0.2052 3.162e-05 8.619e-18 0.40000 6.7354 4.0104 0.5770
0.4 0.375757575758 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1652 9.1032 -0.2051 3.208e-05 8.728e-18 0.40000 6.8206 4.0742 0.5809
0.4 0.379797979798 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1670 9.2045 -0.2048 3.252e-05 8.834e-18 0.40000 6.9040 4.1368 0.5847
0.4 0.383838383838 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1687 9.3036 -0.2045 3.296e-05 8.939e-18 0.40000 6.9855 4.1982 0.5884
0.4 0.387878787879 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1704 9.4005 -0.2041 3.339e-05 9.041e-18 0.40000 7.0654 4.2584 0.5920
0.4 0.391919191919 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1720 9.4953 -0.2036 3.380e-05 9.141e-18 0.40000 7.1436 4.3175 0.5955
0.4 0.39595959596 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1735 9.5882 -0.2030 3.421e-05 9.239e-18 0.40000 7.2203 4.3756 0.5990
0.4 0.4 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -0.1750 9.6792 -0.2023 3.462e-05 9.335e-18 0.40000 7.2955 4.4326 0.6024
