vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi sweepvar qm qmd vgs
-0.7 -0.219191919192 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 5.685e-08 0. -3.4818 19.8349 -6.0307 -2.182e-03 0. -5.231e-09 -5.389e-07 14.9014 -2.210e-03 -2.760e-21 -0.70000 -2.900e-05 -5.389e-07 0.2192
-0.7 -0.226262626263 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 7.092e-08 0. -3.4818 19.8369 -6.0307 -2.718e-03 0. -6.525e-09 -6.721e-07 14.9034 -2.760e-03 -3.432e-21 -0.70000 -3.612e-05 -6.721e-07 0.2263
-0.7 -0.233333333333 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 8.864e-08 0. -3.4818 19.8394 -6.0307 -3.390e-03 0. -8.155e-09 -8.397e-07 14.9059 -3.455e-03 -4.276e-21 -0.70000 -4.506e-05 -8.397e-07 0.2334
-0.7 -0.240404040404 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.098e-07 0. -3.4818 19.8422 -6.0307 -4.189e-03 0. -1.010e-08 -1.040e-06 14.9087 -4.286e-03 -5.279e-21 -0.70000 -5.568e-05 -1.040e-06 0.2402
-0.7 -0.247474747475 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.394e-07 0. -3.4818 19.8464 -6.0307 -5.306e-03 0. -1.283e-08 -1.320e-06 14.9129 -5.458e-03 -6.682e-21 -0.70000 -7.052e-05 -1.320e-06 0.2478
-0.7 -0.254545454545 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 1.735e-07 0. -3.4818 19.8509 -6.0307 -6.581e-03 0. -1.596e-08 -1.642e-06 14.9175 -6.811e-03 -8.286e-21 -0.70000 -8.748e-05 -1.642e-06 0.2549
-0.7 -0.261616161616 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.128e-07 0. -3.4818 19.8563 -6.0307 -8.041e-03 0. -1.958e-08 -2.011e-06 14.9229 -8.376e-03 -1.012e-20 -0.70000 -1.069e-04 -2.011e-06 0.2614
-0.7 -0.268686868687 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 2.663e-07 0. -3.4818 19.8636 -6.0307 -1.002e-02 0. -2.450e-08 -2.514e-06 14.9302 -1.052e-02 -1.261e-20 -0.70000 -1.332e-04 -2.514e-06 0.2687
-0.7 -0.275757575758 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 3.310e-07 0. -3.4818 19.8723 -6.0307 -1.238e-02 0. -3.045e-08 -3.118e-06 14.9388 -1.314e-02 -1.560e-20 -0.70000 -1.646e-04 -3.118e-06 0.2758
-0.7 -0.282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 0.0 4.147e-07 0. -3.4818 19.8832 -6.0307 -1.542e-02 0. -3.816e-08 -3.898e-06 14.9498 -1.655e-02 -1.943e-20 -0.70000 -2.050e-04 -3.898e-06 0.2831
