vd vg vs vb l alpha1_p alpha11_p t_fe phig vfed qms vfes ids qgi sweepvar qm qmd vgs
0.4 0.246464646465 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.4912 0. 2.752e-06 1.202e-18 0.40000 -0.2805 0.2805 0.2465
0.4 0.250505050505 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.5560 0. 2.916e-06 1.258e-18 0.40000 -0.2986 0.2986 0.2505
0.4 0.254545454545 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.6218 0. 3.087e-06 1.317e-18 0.40000 -0.3176 0.3176 0.2545
0.4 0.258585858586 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.6887 0. 3.264e-06 1.376e-18 0.40000 -0.3374 0.3374 0.2586
0.4 0.262626262626 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.7566 0. 3.446e-06 1.436e-18 0.40000 -0.3579 0.3579 0.2626
0.4 0.266666666667 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.8255 0. 3.634e-06 1.498e-18 0.40000 -0.3793 0.3793 0.2667
0.4 0.270707070707 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.8955 0. 3.828e-06 1.560e-18 0.40000 -0.4014 0.4014 0.2707
0.4 0.274747474747 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 1.9664 0. 4.029e-06 1.624e-18 0.40000 -0.4244 0.4244 0.2747
0.4 0.278787878788 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 2.0382 0. 4.234e-06 1.689e-18 0.40000 -0.4481 0.4481 0.2788
0.4 0.282828282828 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 2.1110 0. 4.446e-06 1.755e-18 0.40000 -0.4727 0.4727 0.2828
0.4 0.286868686869 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 2.1847 0. 4.664e-06 1.822e-18 0.40000 -0.4980 0.4980 0.2869
0.4 0.290909090909 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 2.2593 0. 4.887e-06 1.890e-18 0.40000 -0.5242 0.5242 0.2909
0.4 0.294949494949 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 2.3348 0. 5.116e-06 1.960e-18 0.40000 -0.5511 0.5511 0.2949
0.4 0.29898989899 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 2.4111 0. 5.351e-06 2.030e-18 0.40000 -0.5789 0.5789 0.2990
0.4 0.30303030303 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 2.4882 0. 5.591e-06 2.101e-18 0.40000 -0.6074 0.6074 0.3030
0.4 0.307070707071 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 2.5662 0. 5.838e-06 2.173e-18 0.40000 -0.6368 0.6368 0.3071
0.4 0.311111111111 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 2.6449 0. 6.089e-06 2.246e-18 0.40000 -0.6669 0.6669 0.3111
0.4 0.315151515152 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 2.7245 0. 6.347e-06 2.320e-18 0.40000 -0.6977 0.6977 0.3152
0.4 0.319191919192 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 2.8048 0. 6.609e-06 2.396e-18 0.40000 -0.7294 0.7294 0.3192
0.4 0.323232323232 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 2.8859 0. 6.878e-06 2.472e-18 0.40000 -0.7618 0.7618 0.3232
0.4 0.327272727273 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 2.9677 0. 7.151e-06 2.548e-18 0.40000 -0.7950 0.7950 0.3273
0.4 0.331313131313 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 3.0502 0. 7.431e-06 2.626e-18 0.40000 -0.8289 0.8289 0.3313
0.4 0.335353535354 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 3.1334 0. 7.715e-06 2.705e-18 0.40000 -0.8635 0.8635 0.3354
0.4 0.339393939394 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 3.2174 0. 8.004e-06 2.785e-18 0.40000 -0.8989 0.8989 0.3394
0.4 0.343434343434 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 3.3020 0. 8.299e-06 2.865e-18 0.40000 -0.9350 0.9350 0.3434
0.4 0.347474747475 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 3.3873 0. 8.599e-06 2.946e-18 0.40000 -0.9719 0.9719 0.3475
0.4 0.351515151515 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 3.4732 0. 8.904e-06 3.028e-18 0.40000 -1.0094 1.0094 0.3515
0.4 0.355555555556 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 3.5598 0. 9.214e-06 3.111e-18 0.40000 -1.0476 1.0476 0.3556
0.4 0.359595959596 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 3.6469 0. 9.529e-06 3.195e-18 0.40000 -1.0866 1.0866 0.3596
0.4 0.363636363636 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 3.7348 0. 9.848e-06 3.280e-18 0.40000 -1.1262 1.1262 0.3636
0.4 0.367676767677 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 3.8232 0. 1.017e-05 3.365e-18 0.40000 -1.1665 1.1665 0.3677
0.4 0.371717171717 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 3.9122 0. 1.050e-05 3.451e-18 0.40000 -1.2074 1.2074 0.3717
0.4 0.375757575758 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 4.0017 0. 1.084e-05 3.538e-18 0.40000 -1.2490 1.2490 0.3758
0.4 0.379797979798 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 4.0919 0. 1.117e-05 3.626e-18 0.40000 -1.2913 1.2913 0.3798
0.4 0.383838383838 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 4.1826 0. 1.152e-05 3.714e-18 0.40000 -1.3342 1.3342 0.3838
0.4 0.387878787879 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 4.2738 0. 1.186e-05 3.803e-18 0.40000 -1.3778 1.3778 0.3879
0.4 0.391919191919 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 4.3656 0. 1.221e-05 3.893e-18 0.40000 -1.4220 1.4220 0.3919
0.4 0.39595959596 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 4.4578 0. 1.257e-05 3.984e-18 0.40000 -1.4668 1.4668 0.3960
0.4 0.4 0 0 3e-08 -3249270000.0 2.41166e+13 0 4.3 0. 4.5506 0. 1.293e-05 4.075e-18 0.40000 -1.5122 1.5122 0.4000
