vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi sweepvar qm qmd vgs
0.7 0.162626262626 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.342e-09 -3.803e-04 -3.4469 21.1454 -5.9702 -3.394e-04 -4.106e-04 8.594e-10 -3.443e-08 8.7426 -3.399e-04 4.609e-22 0.70000 -4.462e-06 -3.443e-08 0.1626
0.05 0.169696969697 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.216e-09 -3.847e-04 -3.4664 13.7805 -6.0040 -2.955e-04 -4.065e-04 4.799e-10 -5.012e-05 1.3155 -2.958e-04 4.665e-22 5.0000e-02 -5.331e-05 -5.011e-05 0.1697
0.7 0.169696969697 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.205e-08 -3.803e-04 -3.4469 21.1460 -5.9702 -4.375e-04 -4.194e-04 1.108e-09 -4.437e-08 8.7432 -4.383e-04 5.852e-22 0.70000 -5.752e-06 -4.437e-08 0.1697
0.05 0.176767676768 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.731e-09 -3.860e-04 -3.4664 13.7805 -6.0040 -3.812e-04 -4.141e-04 6.192e-10 -6.469e-05 1.3155 -3.818e-04 5.929e-22 5.0000e-02 -6.880e-05 -6.468e-05 0.1768
0.7 0.176767676768 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.551e-08 -3.803e-04 -3.4469 21.1458 -5.9702 -5.633e-04 -4.306e-04 1.427e-09 -5.718e-08 8.7429 -5.646e-04 7.446e-22 0.70000 -7.406e-06 -5.718e-08 0.1768
0.05 0.183838383838 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.685e-09 -3.877e-04 -3.4664 13.7805 -6.0040 -4.918e-04 -4.239e-04 7.990e-10 -8.349e-05 1.3155 -4.927e-04 7.558e-22 5.0000e-02 -8.879e-05 -8.347e-05 0.1838
0.7 0.183838383838 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.998e-08 -3.803e-04 -3.4469 21.1464 -5.9702 -7.254e-04 -4.451e-04 1.838e-09 -7.363e-08 8.7435 -7.274e-04 9.498e-22 0.70000 -9.536e-06 -7.363e-08 0.1838
0.05 0.190909090909 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.121e-08 -3.898e-04 -3.4664 13.7805 -6.0040 -6.343e-04 -4.366e-04 1.031e-09 -1.078e-04 1.3155 -6.359e-04 9.658e-22 5.0000e-02 -1.146e-04 -1.077e-04 0.1909
0.7 0.190909090909 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.571e-08 -3.803e-04 -3.4469 21.1468 -5.9702 -9.331e-04 -4.636e-04 2.365e-09 -9.475e-08 8.7440 -9.363e-04 1.213e-21 0.70000 -1.227e-05 -9.475e-08 0.1909
0.05 0.19797979798 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.446e-08 -3.926e-04 -3.4664 13.7805 -6.0040 -8.181e-04 -4.529e-04 1.330e-09 -1.391e-04 1.3155 -8.206e-04 1.236e-21 5.0000e-02 -1.479e-04 -1.390e-04 0.1980
0.7 0.19797979798 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.296e-08 -3.803e-04 -3.4469 21.1480 -5.9702 -1.196e-03 -4.871e-04 3.032e-09 -1.214e-07 8.7452 -1.201e-03 1.545e-21 0.70000 -1.572e-05 -1.214e-07 0.1978
0.05 0.205050505051 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.865e-08 -3.962e-04 -3.4664 13.7805 -6.0040 -1.055e-03 -4.740e-04 1.716e-09 -1.795e-04 1.3155 -1.059e-03 1.585e-21 5.0000e-02 -1.908e-04 -1.794e-04 0.2051
0.7 0.205050505051 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.299e-08 -3.803e-04 -3.4469 21.1493 -5.9702 -1.559e-03 -5.195e-04 3.955e-09 -1.583e-07 8.7464 -1.567e-03 2.005e-21 0.70000 -2.049e-05 -1.583e-07 0.2052
0.05 0.212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.405e-08 -4.008e-04 -3.4664 13.7805 -6.0040 -1.360e-03 -5.011e-04 2.213e-09 -2.317e-04 1.3155 -1.367e-03 2.035e-21 5.0000e-02 -2.462e-04 -2.315e-04 0.2121
0.7 0.212121212121 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.498e-08 -3.803e-04 -3.4469 21.1510 -5.9702 -1.991e-03 -5.582e-04 5.058e-09 -2.022e-07 8.7481 -2.006e-03 2.553e-21 0.70000 -2.618e-05 -2.022e-07 0.2121
0.05 0.219191919192 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.102e-08 -4.068e-04 -3.4664 13.7805 -6.0040 -1.752e-03 -5.359e-04 2.854e-09 -2.990e-04 1.3155 -1.764e-03 2.614e-21 5.0000e-02 -3.176e-04 -2.986e-04 0.2192
0.7 0.219191919192 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.079e-08 -3.803e-04 -3.4469 21.1530 -5.9702 -2.561e-03 -6.091e-04 6.512e-09 -2.601e-07 8.7502 -2.584e-03 3.276e-21 0.70000 -3.367e-05 -2.601e-07 0.2192
0.05 0.226262626263 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.999e-08 -4.145e-04 -3.4664 13.7806 -6.0040 -2.257e-03 -5.808e-04 3.679e-09 -3.859e-04 1.3156 -2.276e-03 3.359e-21 5.0000e-02 -4.097e-04 -3.853e-04 0.2263
0.7 0.226262626263 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.110e-08 -3.803e-04 -3.4469 21.1557 -5.9702 -3.292e-03 -6.744e-04 8.381e-09 -3.343e-07 8.7529 -3.329e-03 4.202e-21 0.70000 -4.328e-05 -3.343e-07 0.2263
0.05 0.233333333333 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.154e-08 -4.244e-04 -3.4664 13.7805 -6.0040 -2.907e-03 -6.385e-04 4.742e-09 -4.980e-04 1.3156 -2.936e-03 4.317e-21 5.0000e-02 -5.285e-04 -4.970e-04 0.2333
0.7 0.233333333333 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.158e-07 -3.803e-04 -3.4469 21.1585 -5.9702 -4.181e-03 -7.538e-04 1.066e-08 -4.246e-07 8.7556 -4.239e-03 5.330e-21 0.70000 -5.497e-05 -4.246e-07 0.2330
0.05 0.240404040404 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.641e-08 -4.372e-04 -3.4664 13.7806 -6.0040 -3.740e-03 -7.125e-04 6.109e-09 -6.425e-04 1.3157 -3.787e-03 5.548e-21 5.0000e-02 -6.814e-04 -6.409e-04 0.2404
0.7 0.240404040404 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.503e-07 -3.803e-04 -3.4469 21.1634 -5.9702 -5.416e-03 -8.641e-04 1.383e-08 -5.495e-07 8.7606 -5.510e-03 6.897e-21 0.70000 -7.120e-05 -5.495e-07 0.2403
0.05 0.247474747475 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.554e-08 -4.537e-04 -3.4664 13.7806 -6.0040 -4.811e-03 -8.076e-04 7.870e-09 -8.292e-04 1.3157 -4.886e-03 7.131e-21 5.0000e-02 -8.786e-04 -8.267e-04 0.2475
0.7 0.247474747475 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.938e-07 -3.803e-04 -3.4469 21.1690 -5.9702 -6.968e-03 -1.003e-03 1.783e-08 -7.061e-07 8.7662 -7.116e-03 8.868e-21 0.70000 -9.160e-05 -7.061e-07 0.2475
0.05 0.254545454545 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.102e-07 -4.750e-04 -3.4664 13.7806 -6.0040 -6.186e-03 -9.298e-04 1.014e-08 -1.071e-03 1.3156 -6.306e-03 9.166e-21 5.0000e-02 -1.133e-03 -1.066e-03 0.2546
0.7 0.254545454545 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.488e-07 -3.803e-04 -3.4469 21.1762 -5.9702 -8.924e-03 -1.178e-03 2.289e-08 -9.027e-07 8.7733 -9.154e-03 1.136e-20 0.70000 -1.173e-04 -9.027e-07 0.2545
0.05 0.261616161616 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.418e-07 -5.023e-04 -3.4664 13.7806 -6.0040 -7.943e-03 -1.086e-03 1.304e-08 -1.381e-03 1.3157 -8.130e-03 1.177e-20 5.0000e-02 -1.460e-03 -1.374e-03 0.2616
0.7 0.261616161616 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.201e-07 -3.804e-04 -3.4469 21.1855 -5.9702 -1.145e-02 -1.403e-03 2.945e-08 -1.154e-06 8.7827 -1.180e-02 1.457e-20 0.70000 -1.505e-04 -1.154e-06 0.2616
0.05 0.268686868687 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.825e-07 -5.378e-04 -3.4664 13.7803 -6.0040 -1.020e-02 -1.287e-03 1.679e-08 -1.785e-03 1.3153 -1.049e-02 1.512e-20 5.0000e-02 -1.883e-03 -1.773e-03 0.2687
0.7 0.268686868687 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.107e-07 -3.804e-04 -3.4469 21.1969 -5.9702 -1.464e-02 -1.688e-03 3.778e-08 -1.470e-06 8.7940 -1.518e-02 1.864e-20 0.70000 -1.925e-04 -1.470e-06 0.2687
0.05 0.275757575758 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.346e-07 -5.830e-04 -3.4664 13.7806 -6.0040 -1.307e-02 -1.542e-03 2.158e-08 -2.301e-03 1.3157 -1.352e-02 1.940e-20 5.0000e-02 -2.423e-03 -2.283e-03 0.2758
0.7 0.275757575758 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.254e-07 -3.804e-04 -3.4469 21.2114 -5.9702 -1.866e-02 -2.048e-03 4.834e-08 -1.862e-06 8.8086 -1.948e-02 2.379e-20 0.70000 -2.454e-04 -1.862e-06 0.2757
0.05 0.282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.013e-07 -6.414e-04 -3.4664 13.7804 -6.0040 -1.674e-02 -1.868e-03 2.772e-08 -2.970e-03 1.3154 -1.742e-02 2.487e-20 5.0000e-02 -3.120e-03 -2.939e-03 0.2828
0.7 0.282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.748e-07 -3.805e-04 -3.4469 21.2303 -5.9702 -2.388e-02 -2.513e-03 6.208e-08 -2.359e-06 8.8275 -2.510e-02 3.047e-20 0.70000 -3.138e-04 -2.359e-06 0.2828
0.05 0.289898989899 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.867e-07 -7.155e-04 -3.4664 13.7820 -6.0040 -2.140e-02 -2.281e-03 3.557e-08 -3.821e-03 1.3170 -2.242e-02 3.182e-20 5.0000e-02 -4.003e-03 -3.773e-03 0.2899
0.7 0.289898989899 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.649e-07 -3.805e-04 -3.4469 21.2541 -5.9702 -3.047e-02 -3.103e-03 7.957e-08 -2.970e-06 8.8512 -3.227e-02 3.896e-20 0.70000 -4.005e-04 -2.970e-06 0.2899
0.05 0.29696969697 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.964e-07 -8.120e-04 -3.4664 13.7810 -6.0040 -2.737e-02 -2.811e-03 4.567e-08 -4.937e-03 1.3160 -2.888e-02 4.077e-20 5.0000e-02 -5.154e-03 -4.860e-03 0.2970
0.7 0.29696969697 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.108e-06 -3.806e-04 -3.4469 21.2842 -5.9702 -3.885e-02 -3.851e-03 1.019e-07 -3.715e-06 8.8814 -4.146e-02 4.980e-20 0.70000 -5.106e-04 -3.715e-06 0.2970
0.05 0.30404040404 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.363e-07 -9.350e-04 -3.4664 13.7808 -6.0040 -3.493e-02 -3.483e-03 5.854e-08 -6.366e-03 1.3158 -3.714e-02 5.214e-20 5.0000e-02 -6.618e-03 -6.244e-03 0.3040
0.7 0.30404040404 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.418e-06 -3.807e-04 -3.4469 21.3226 -5.9702 -4.950e-02 -4.802e-03 1.305e-07 -4.610e-06 8.9197 -5.323e-02 6.364e-20 0.70000 -6.504e-04 -4.610e-06 0.3040
0.05 0.311111111111 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.163e-07 -1.093e-03 -3.4664 13.7816 -6.0040 -4.458e-02 -4.340e-03 7.510e-08 -8.208e-03 1.3166 -4.778e-02 6.672e-20 5.0000e-02 -8.495e-03 -8.018e-03 0.3111
0.7 0.311111111111 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.813e-06 -3.808e-04 -3.4469 21.3709 -5.9702 -6.296e-02 -6.005e-03 1.668e-07 -5.657e-06 8.9680 -6.818e-02 8.125e-20 0.70000 -8.270e-04 -5.657e-06 0.3111
