vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qms vfes ids sweepvar qm qmd
0.5 0.131313131313 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.410e-09 -3.803e-04 -9.679e-05 -3.889e-04 2.217e-10 0.50000 -1.279e-06 -1.658e-08
0.05 0.136363636364 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.567e-09 -3.816e-04 -8.882e-05 -3.882e-04 1.442e-10 5.0000e-02 -1.602e-05 -1.505e-05
0.5 0.136363636364 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.874e-09 -3.803e-04 -1.154e-04 -3.906e-04 2.644e-10 0.50000 -1.525e-06 -1.977e-08
0.05 0.141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.880e-09 -3.819e-04 -1.065e-04 -3.897e-04 1.730e-10 5.0000e-02 -1.921e-05 -1.805e-05
0.5 0.141414141414 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.465e-09 -3.803e-04 -1.391e-04 -3.927e-04 3.188e-10 0.50000 -1.839e-06 -2.382e-08
0.05 0.146464646465 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.257e-09 -3.822e-04 -1.279e-04 -3.916e-04 2.076e-10 5.0000e-02 -2.306e-05 -2.168e-05
0.5 0.146464646465 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.154e-09 -3.803e-04 -1.668e-04 -3.951e-04 3.822e-10 0.50000 -2.205e-06 -2.857e-08
0.05 0.151515151515 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.707e-09 -3.826e-04 -1.534e-04 -3.939e-04 2.491e-10 5.0000e-02 -2.767e-05 -2.601e-05
0.5 0.151515151515 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.981e-09 -3.803e-04 -2.000e-04 -3.981e-04 4.583e-10 0.50000 -2.644e-06 -3.426e-08
0.05 0.156565656566 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.248e-09 -3.830e-04 -1.840e-04 -3.966e-04 2.988e-10 5.0000e-02 -3.319e-05 -3.120e-05
0.5 0.156565656566 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.978e-09 -3.803e-04 -2.400e-04 -4.017e-04 5.499e-10 0.50000 -3.172e-06 -4.111e-08
0.05 0.161616161616 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.897e-09 -3.836e-04 -2.208e-04 -3.999e-04 3.585e-10 5.0000e-02 -3.983e-05 -3.744e-05
