vd vg vs vb l alpha1_p alpha11_p t_fe ni in1aux vfed qid vn2aux in2aux vfes ids qmis vn1aux sweepvar vtm
0.05 0.0204081632653 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 2.078e-07 0. -64.4724 0. 1.052e-12 5.420e-05 3.492e-17 5.0000e-02 2.586e-02
0.05 0.0 0 0 1e-06 -84927000.0 611660000000.0 0.0 2.651e+16 -64.4724 0. 9.451e-08 0. -64.4724 0. 4.779e-13 2.462e-05 4.167e-17 5.0000e-02 2.586e-02
0.05 0.0 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -5.716e-04 9.662e-08 -5.716e-04 -64.4724 -5.723e-04 4.886e-13 2.518e-05 -5.723e-04 5.0000e-02 2.586e-02
0.05 0.0204081632653 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -5.717e-04 2.125e-07 -5.717e-04 -64.4724 -5.732e-04 1.076e-12 5.542e-05 -5.732e-04 5.0000e-02 2.586e-02
0.05 0.0408163265306 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -5.720e-04 4.671e-07 -5.720e-04 -64.4724 -5.752e-04 2.369e-12 1.220e-04 -5.752e-04 5.0000e-02 2.586e-02
0.05 0.0612244897959 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -5.727e-04 1.026e-06 -5.727e-04 -64.4724 -5.796e-04 5.216e-12 2.685e-04 -5.796e-04 5.0000e-02 2.586e-02
0.05 0.0816326530612 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -5.741e-04 2.252e-06 -5.741e-04 -64.4724 -5.894e-04 1.149e-11 5.910e-04 -5.894e-04 5.0000e-02 2.586e-02
0.05 0.102040816327 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -5.773e-04 4.935e-06 -5.773e-04 -64.4724 -6.110e-04 2.532e-11 1.301e-03 -6.110e-04 5.0000e-02 2.586e-02
0.05 0.122448979592 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -5.842e-04 1.079e-05 -5.842e-04 -64.4724 -6.583e-04 5.582e-11 2.861e-03 -6.583e-04 5.0000e-02 2.586e-02
0.05 0.142857142857 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -5.991e-04 2.354e-05 -5.991e-04 -64.4724 -7.623e-04 1.232e-10 6.290e-03 -7.623e-04 5.0000e-02 2.586e-02
0.05 0.163265306122 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -6.314e-04 5.110e-05 -6.314e-04 -64.4724 -9.904e-04 2.724e-10 1.381e-02 -9.904e-04 5.0000e-02 2.586e-02
0.05 0.183673469388 0 0 1e-06 -84927000.0 611660000000.0 3e-07 2.651e+16 -64.4724 -7.008e-04 1.102e-04 -6.777e-04 -64.4724 -1.482e-03 5.999e-10 3.001e-02 -1.319e-03 5.0000e-02 2.586e-02
