vd vg vs vb l alpha1_p alpha11_p t_fe idsperum qms vfes ids sweepvar qm qmd
0.7 0.530303030303 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 8.499e-04 -7.2276 -0.3201 7.819e-05 0.70000 4.6910 -1.058e-02
0.7 0.537373737374 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 8.564e-04 -7.2736 -0.3153 7.879e-05 0.70000 4.7219 -1.113e-02
0.7 0.544444444444 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 8.627e-04 -7.3188 -0.3104 7.937e-05 0.70000 4.7523 -1.169e-02
0.7 0.551515151515 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 8.690e-04 -7.3635 -0.3055 7.995e-05 0.70000 4.7825 -1.228e-02
0.7 0.558585858586 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 8.750e-04 -7.4067 -0.3006 8.050e-05 0.70000 4.8115 -1.288e-02
0.7 0.565656565657 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 8.810e-04 -7.4495 -0.2956 8.106e-05 0.70000 4.8403 -1.349e-02
0.7 0.572727272727 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 8.870e-04 -7.4920 -0.2906 8.160e-05 0.70000 4.8690 -1.414e-02
0.7 0.579797979798 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 8.928e-04 -7.5334 -0.2855 8.214e-05 0.70000 4.8969 -1.479e-02
0.7 0.586868686869 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 8.985e-04 -7.5739 -0.2805 8.266e-05 0.70000 4.9241 -1.546e-02
0.7 0.593939393939 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.041e-04 -7.6141 -0.2754 8.318e-05 0.70000 4.9512 -1.616e-02
0.7 0.60101010101 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.096e-04 -7.6536 -0.2703 8.369e-05 0.70000 4.9779 -1.687e-02
0.7 0.608080808081 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.151e-04 -7.6926 -0.2651 8.419e-05 0.70000 5.0042 -1.761e-02
0.7 0.615151515152 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.205e-04 -7.7311 -0.2599 8.468e-05 0.70000 5.0301 -1.836e-02
0.7 0.622222222222 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.258e-04 -7.7690 -0.2547 8.517e-05 0.70000 5.0557 -1.914e-02
0.7 0.629292929293 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.310e-04 -7.8066 -0.2494 8.566e-05 0.70000 5.0811 -1.994e-02
0.7 0.636363636364 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.362e-04 -7.8433 -0.2441 8.613e-05 0.70000 5.1058 -2.075e-02
0.7 0.643434343434 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.413e-04 -7.8797 -0.2388 8.660e-05 0.70000 5.1304 -2.159e-02
0.7 0.650505050505 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.463e-04 -7.9156 -0.2335 8.706e-05 0.70000 5.1546 -2.245e-02
0.7 0.657575757576 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.512e-04 -7.9511 -0.2282 8.751e-05 0.70000 5.1786 -2.333e-02
0.7 0.664646464646 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.561e-04 -7.9861 -0.2228 8.796e-05 0.70000 5.2023 -2.423e-02
0.7 0.671717171717 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.610e-04 -8.0208 -0.2174 8.841e-05 0.70000 5.2256 -2.516e-02
0.7 0.678787878788 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.658e-04 -8.0550 -0.2120 8.885e-05 0.70000 5.2488 -2.611e-02
0.7 0.685858585859 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.705e-04 -8.0888 -0.2065 8.928e-05 0.70000 5.2716 -2.708e-02
0.7 0.692929292929 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.751e-04 -8.1222 -0.2011 8.971e-05 0.70000 5.2942 -2.807e-02
0.7 0.7 0 0 2e-08 -3249270000.0 2.41166e+13 2e-08 9.798e-04 -8.1552 -0.1956 9.014e-05 0.70000 5.3165 -2.908e-02
