vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qms vfes ids sweepvar qm qmd
0.05 0.367676767677 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.852e-06 -7.048e-03 -0.2472 -1.502e-02 5.384e-07 5.0000e-02 0.1649 -7.507e-02
0.7 0.367676767677 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.771e-06 -3.831e-04 -0.2969 -1.465e-02 8.989e-07 0.70000 0.1598 -3.196e-05
0.05 0.374747474747 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.552e-06 -9.342e-03 -0.3062 -1.888e-02 6.948e-07 5.0000e-02 0.2086 -0.1009
0.7 0.374747474747 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.243e-05 -3.836e-04 -0.3572 -1.772e-02 1.144e-06 0.70000 0.1943 -3.762e-05
0.05 0.381818181818 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.811e-06 -1.254e-02 -0.3805 -2.390e-02 9.027e-07 5.0000e-02 0.2653 -0.1370
0.7 0.381818181818 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.583e-05 -3.842e-04 -0.4283 -2.139e-02 1.457e-06 0.70000 0.2356 -4.383e-05
0.05 0.388888888889 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.288e-05 -1.711e-02 -0.4762 -3.054e-02 1.185e-06 5.0000e-02 0.3407 -0.1885
0.7 0.388888888889 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.018e-05 -3.848e-04 -0.5118 -2.577e-02 1.857e-06 0.70000 0.2848 -5.055e-05
0.05 0.39595959596 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.719e-05 -2.386e-02 -0.6039 -3.966e-02 1.582e-06 5.0000e-02 0.4446 -0.2648
0.7 0.39595959596 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.576e-05 -3.854e-04 -0.6101 -3.097e-02 2.370e-06 0.70000 0.3436 -5.773e-05
0.05 0.40303030303 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.363e-05 -3.443e-02 -0.7852 -5.292e-02 2.174e-06 5.0000e-02 0.5974 -0.3850
0.7 0.40303030303 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.293e-05 -3.861e-04 -0.7257 -3.716e-02 3.029e-06 0.70000 0.4138 -6.534e-05
0.05 0.410101010101 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.438e-05 -5.300e-02 -1.0761 -7.448e-02 3.163e-06 5.0000e-02 0.8515 -0.5984
0.7 0.410101010101 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.215e-05 -3.868e-04 -0.8619 -4.451e-02 3.878e-06 0.70000 0.4975 -7.338e-05
0.05 0.417171717172 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.603e-05 -9.143e-02 -1.6448 -0.1155 5.155e-06 5.0000e-02 1.3670 -1.0582
0.7 0.417171717172 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.406e-05 -3.876e-04 -1.0223 -5.320e-02 4.973e-06 0.70000 0.5973 -8.198e-05
0.05 0.424242424242 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.243e-05 -0.1357 -2.3292 -0.1585 7.584e-06 5.0000e-02 2.0043 -1.6484
0.7 0.424242424242 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.941e-05 -3.884e-04 -1.2114 -6.344e-02 6.385e-06 0.70000 0.7164 -9.142e-05
0.05 0.431313131313 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.843e-05 -0.1592 -2.7430 -0.1791 9.055e-06 5.0000e-02 2.3950 -2.0163
0.7 0.431313131313 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.913e-05 -3.894e-04 -1.4338 -7.541e-02 8.200e-06 0.70000 0.8578 -1.022e-04
0.05 0.438383838384 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.094e-04 -0.1732 -3.0278 -0.1903 1.007e-05 5.0000e-02 2.6655 -2.2730
0.7 0.438383838384 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.141e-04 -3.906e-04 -1.6932 -8.916e-02 1.050e-05 0.70000 1.0242 -1.154e-04
0.05 0.445454545455 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.180e-04 -0.1827 -3.2494 -0.1970 1.085e-05 5.0000e-02 2.8768 -2.4744
0.7 0.445454545455 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.450e-04 -3.921e-04 -1.9890 -0.1044 1.334e-05 0.70000 1.2154 -1.322e-04
0.05 0.452525252525 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.250e-04 -0.1894 -3.4334 -0.2012 1.150e-05 5.0000e-02 3.0527 -2.6426
0.7 0.452525252525 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.812e-04 -3.941e-04 -2.3127 -0.1204 1.667e-05 0.70000 1.4260 -1.547e-04
0.05 0.459595959596 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.311e-04 -0.1944 -3.5922 -0.2036 1.206e-05 5.0000e-02 3.2050 -2.7885
0.7 0.459595959596 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.209e-04 -3.967e-04 -2.6476 -0.1361 2.033e-05 0.70000 1.6449 -1.845e-04
0.05 0.466666666667 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.365e-04 -0.1981 -3.7330 -0.2049 1.256e-05 5.0000e-02 3.3401 -2.9182
0.7 0.466666666667 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.616e-04 -4.002e-04 -2.9748 -0.1503 2.406e-05 0.70000 1.8596 -2.229e-04
0.05 0.473737373737 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.414e-04 -0.2008 -3.8600 -0.2053 1.301e-05 5.0000e-02 3.4622 -3.0356
0.7 0.473737373737 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.010e-04 -4.044e-04 -3.2816 -0.1625 2.769e-05 0.70000 2.0616 -2.706e-04
0.05 0.480808080808 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.459e-04 -0.2028 -3.9762 -0.2050 1.342e-05 5.0000e-02 3.5740 -3.1433
0.7 0.480808080808 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.380e-04 -4.096e-04 -3.5632 -0.1725 3.110e-05 0.70000 2.2473 -3.279e-04
0.05 0.487878787879 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.500e-04 -0.2041 -4.0835 -0.2041 1.380e-05 5.0000e-02 3.6775 -3.2431
0.7 0.487878787879 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.724e-04 -4.156e-04 -3.8196 -0.1807 3.426e-05 0.70000 2.4168 -3.953e-04
